flight_id,avg_boarding_no,total_boarding_passes
682,2.0000,3
685,4.0000,7
695,6.0000,11
697,3.0000,5
702,4.0000,7
709,6.0000,11
711,4.5000,8
712,4.5000,8
713,6.0000,11
718,6.0000,11
724,5.0000,9
726,5.5000,10
728,2.5000,4
733,2.0000,3
735,4.0000,7
737,6.0000,11
754,4.0000,7
767,2.5000,4
768,3.5000,6
770,6.0000,11
771,6.0000,11
774,5.0000,9
780,4.5000,8
781,6.0000,11
786,6.0000,11
787,5.0000,9
793,5.5000,10
795,5.5000,10
796,7.5000,14
797,7.0000,13
798,5.0000,9
800,5.5000,10
801,7.0000,13
806,4.5000,8
808,6.0000,11
809,8.5000,16
811,5.5000,10
816,6.5000,12
818,7.0000,13
819,6.5000,12
821,5.0000,9
823,5.0000,9
824,4.5000,8
828,5.5000,10
829,9.0000,17
830,7.0000,13
834,6.5000,12
835,7.0000,13
837,6.5000,12
838,6.5000,12
840,9.0000,17
841,6.5000,12
842,4.5000,8
843,8.0000,15
849,7.0000,13
850,7.0000,13
851,6.5000,12
852,4.5000,8
855,6.5000,12
856,8.5000,16
860,8.5000,16
861,5.5000,10
862,5.0000,9
863,8.5000,16
865,8.5000,16
866,6.5000,12
870,6.0000,11
871,7.5000,14
875,7.5000,14
878,6.0000,11
879,8.5000,16
885,7.5000,14
886,9.0000,17
888,8.0000,15
889,9.5000,18
893,13.0000,25
894,6.0000,11
895,5.5000,10
897,5.5000,10
899,5.0000,9
902,7.5000,14
903,5.5000,10
904,6.0000,11
905,9.0000,17
906,8.0000,15
907,7.5000,14
910,10.0000,19
912,6.0000,11
914,7.5000,14
917,20.0000,39
919,19.0000,37
920,19.5000,38
923,15.0000,29
924,20.0000,39
925,20.5000,40
928,21.0000,41
929,19.5000,38
930,18.0000,35
931,14.5000,28
932,25.5000,50
938,19.0000,37
939,22.0000,43
940,16.0000,31
941,15.5000,30
942,23.0000,45
943,25.5000,50
944,21.0000,41
945,23.0000,45
947,24.5000,48
948,13.0000,25
950,16.0000,31
951,21.0000,41
953,19.0000,37
955,21.0000,41
957,19.0000,37
966,22.5000,44
970,15.0000,29
971,25.5000,50
972,18.5000,36
975,22.5000,44
1040,66.5000,132
1045,73.5000,146
1046,15.0000,29
1047,27.0000,53
1049,67.0000,133
1050,14.0000,27
1051,70.5000,140
1057,62.5000,124
1060,68.5000,136
1061,70.0000,139
1062,76.0000,151
1063,78.5000,156
1064,60.5000,120
1065,60.0000,119
1066,48.0000,95
1067,66.5000,132
1068,64.0000,127
1071,68.5000,136
1072,74.5000,148
1076,13.0000,25
1077,19.0000,37
1078,72.5000,144
1079,74.5000,148
1081,15.5000,30
1083,31.5000,62
1086,69.0000,137
1089,71.5000,142
1090,11.5000,22
1091,15.5000,30
1094,67.5000,134
1097,72.5000,144
1101,8.5000,16
1103,14.0000,27
1105,13.5000,26
1106,11.0000,21
1107,14.0000,27
1109,13.5000,26
1111,14.5000,28
1112,13.5000,26
1113,14.5000,28
1114,13.0000,25
1116,11.0000,21
1117,13.5000,26
1118,11.5000,22
1120,12.0000,23
1122,13.0000,25
1123,11.5000,22
1124,13.0000,25
1125,11.5000,22
1127,8.5000,16
1130,16.5000,32
1131,12.5000,24
1132,8.0000,15
1134,10.5000,20
1138,8.0000,15
1140,8.0000,15
1143,8.5000,16
1147,12.0000,23
1149,11.0000,21
1150,13.0000,25
1154,10.0000,19
1158,14.5000,28
1162,26.0000,51
1166,27.5000,54
1167,29.0000,57
1168,30.5000,60
1170,29.5000,58
1171,29.5000,58
1172,26.0000,51
1174,33.0000,65
1175,31.5000,62
1177,28.0000,55
1182,29.0000,57
1183,28.5000,56
1184,28.0000,55
1186,28.5000,56
1188,28.5000,56
1194,26.0000,51
1196,30.5000,60
1197,30.0000,59
1198,26.0000,51
1199,25.5000,50
1201,29.5000,58
1202,30.0000,59
1203,29.5000,58
1209,31.0000,61
1211,32.5000,64
1212,26.5000,52
1213,28.0000,55
1214,8.0000,15
1217,33.5000,66
1219,25.5000,50
1220,31.5000,62
1249,21.5000,42
1250,20.0000,39
1252,16.0000,31
1253,15.0000,29
1254,24.0000,47
1255,25.5000,50
1258,26.5000,52
1259,25.5000,50
1260,24.5000,48
1262,22.0000,43
1266,15.5000,30
1267,20.5000,40
1269,23.0000,45
1272,25.5000,50
1274,18.0000,35
1277,20.0000,39
1278,29.0000,57
1281,21.0000,41
1284,25.5000,50
1287,16.5000,32
1289,23.5000,46
1290,19.5000,38
1294,21.0000,41
1295,20.0000,39
1296,23.5000,46
1301,24.5000,48
1302,16.5000,32
1303,26.5000,52
1304,1.0000,1
1305,20.0000,39
1306,24.0000,47
1308,29.5000,58
1310,46.5000,92
1311,33.0000,65
1313,22.5000,44
1314,32.0000,63
1315,22.0000,43
1317,35.5000,70
1319,48.0000,95
1321,32.0000,63
1322,33.5000,66
1324,49.0000,97
1326,31.5000,62
1332,26.5000,52
1335,37.0000,73
1338,32.0000,63
1339,32.0000,63
1341,21.5000,42
1342,46.5000,92
1343,42.5000,84
1344,26.5000,52
1345,31.5000,62
1350,31.5000,62
1352,41.0000,81
1353,26.5000,52
1357,24.5000,48
1361,29.0000,57
1365,26.5000,52
1367,43.0000,85
1368,25.0000,49
1371,33.5000,66
1372,37.5000,74
1374,33.0000,65
1375,35.5000,70
1377,37.5000,74
1381,37.0000,73
1384,27.0000,53
1385,41.0000,81
1388,38.5000,76
1390,37.0000,73
1391,35.0000,69
1393,26.5000,52
1394,32.5000,64
1395,26.5000,52
1396,31.0000,61
1397,34.5000,68
1398,41.0000,81
1400,37.0000,73
1401,36.0000,71
1403,33.5000,66
1406,37.0000,73
1407,38.0000,75
1408,33.0000,65
1409,39.5000,78
1412,14.0000,27
1414,29.5000,58
1416,35.5000,70
1418,37.0000,73
1419,36.0000,71
1420,18.5000,36
1424,36.5000,72
1425,36.5000,72
1429,10.0000,19
1430,5.5000,10
1432,41.5000,82
1435,24.0000,47
1436,36.0000,71
1437,37.0000,73
1439,38.0000,75
1440,36.0000,71
1441,37.0000,73
1442,36.5000,72
1443,8.5000,16
1445,36.5000,72
1449,16.0000,31
1450,36.5000,72
1451,37.0000,73
1452,10.5000,20
1453,36.5000,72
1454,17.0000,33
1458,24.0000,47
1462,33.0000,65
1466,37.0000,73
1467,36.5000,72
1469,36.0000,71
1474,21.0000,41
1475,33.0000,65
1478,4.0000,7
1479,17.0000,33
1481,29.5000,58
1482,49.5000,98
1483,52.5000,104
1484,46.5000,92
1486,36.5000,72
1487,51.0000,101
1490,46.0000,91
1491,49.0000,97
1493,52.5000,104
1494,32.0000,63
1495,50.5000,100
1498,45.0000,89
1499,30.5000,60
1501,49.0000,97
1502,29.5000,58
1503,54.5000,108
1508,22.5000,44
1510,29.0000,57
1512,52.5000,104
1514,53.5000,106
1515,44.0000,87
1518,38.5000,76
1521,31.5000,62
1525,42.5000,84
1526,53.5000,106
1527,54.0000,107
1529,58.0000,115
1530,46.0000,91
1531,54.5000,108
1537,53.5000,106
1539,51.5000,102
1540,50.5000,100
1545,38.5000,76
1546,36.0000,71
1548,35.5000,70
1549,37.0000,73
1550,38.5000,76
1552,35.0000,69
1553,41.5000,82
1554,39.5000,78
1555,40.5000,80
1557,36.0000,71
1558,34.5000,68
1563,37.0000,73
1566,33.5000,66
1567,37.5000,74
1570,42.5000,84
1572,40.0000,79
1574,37.5000,74
1575,37.0000,73
1576,37.5000,74
1578,36.0000,71
1579,37.0000,73
1581,39.0000,77
1582,38.0000,75
1585,42.0000,83
1586,43.0000,85
1592,40.0000,79
1593,38.5000,76
1594,34.0000,67
1595,41.5000,82
1596,41.5000,82
1599,34.5000,68
1604,8.0000,15
1605,8.0000,15
1608,8.0000,15
1610,9.0000,17
1611,1.0000,1
1613,18.0000,35
1614,9.0000,17
1615,9.5000,18
1616,17.0000,33
1617,12.0000,23
1620,12.5000,24
1622,11.5000,22
1624,13.5000,26
1629,11.5000,22
1631,18.5000,36
1632,14.0000,27
1635,10.0000,19
1637,12.5000,24
1640,39.5000,78
1641,45.0000,89
1642,21.5000,42
1643,39.0000,77
1644,22.5000,44
1646,38.0000,75
1647,38.0000,75
1650,36.5000,72
1651,39.5000,78
1653,41.5000,82
1654,24.0000,47
1656,45.0000,89
1657,41.5000,82
1658,40.5000,80
1661,38.5000,76
1664,22.0000,43
1669,27.0000,53
1672,39.5000,78
1675,48.0000,95
1676,44.0000,87
1677,36.5000,72
1678,48.0000,95
1681,41.5000,82
1683,26.5000,52
1687,43.5000,86
1688,44.5000,88
1689,43.5000,86
1694,43.5000,86
1695,21.0000,41
1697,38.5000,76
1698,36.5000,72
1709,29.0000,57
1712,29.0000,57
1714,31.5000,62
1715,29.0000,57
1716,31.5000,62
1717,31.0000,61
1719,31.5000,62
1720,31.5000,62
1723,30.0000,59
1726,31.0000,61
1728,31.5000,62
1729,30.5000,60
1731,32.5000,64
1733,31.0000,61
1735,31.0000,61
1738,26.5000,52
1739,30.0000,59
1740,30.5000,60
1741,30.5000,60
1747,30.5000,60
1749,36.0000,71
1750,30.0000,59
1753,31.0000,61
1754,31.5000,62
1756,29.5000,58
1758,31.5000,62
1760,29.0000,57
1764,28.0000,55
1767,29.5000,58
1768,30.5000,60
1769,28.5000,56
1786,45.5000,90
1787,42.5000,84
1793,40.0000,79
1795,41.0000,81
1798,2.5000,4
1800,7.5000,14
1803,4.0000,7
1804,10.5000,20
1809,39.0000,77
1814,38.0000,75
1818,43.5000,86
1819,4.0000,7
1821,29.5000,58
1826,29.0000,57
1828,44.5000,88
1832,39.0000,77
1833,42.0000,83
1839,38.0000,75
1842,49.0000,97
1845,42.5000,84
1846,3.0000,5
1847,35.5000,70
1848,43.0000,85
1851,37.5000,74
1852,12.5000,24
1855,5.5000,10
1857,44.5000,88
1870,44.0000,87
1879,42.0000,83
1881,44.0000,87
1884,43.0000,85
1892,7.5000,14
1895,8.5000,16
1898,8.5000,16
1899,10.0000,19
1902,8.0000,15
1903,7.5000,14
1904,7.5000,14
1909,8.0000,15
1911,9.0000,17
1913,9.0000,17
1914,9.0000,17
1916,11.0000,21
1922,12.0000,23
1923,8.0000,15
1924,11.5000,22
1925,10.0000,19
1928,9.0000,17
1929,8.5000,16
1930,10.0000,19
1934,11.5000,22
1936,13.5000,26
1937,10.5000,20
1939,10.5000,20
1940,9.0000,17
1941,10.0000,19
1942,7.5000,14
1943,7.0000,13
1945,8.5000,16
1948,9.5000,18
1949,12.0000,23
1952,11.5000,22
1955,19.0000,37
1956,25.0000,49
1957,19.0000,37
1959,21.5000,42
1965,17.5000,34
1967,23.5000,46
1969,25.0000,49
1970,16.5000,32
1972,25.0000,49
1973,22.0000,43
1975,24.0000,47
1976,23.0000,45
1978,23.5000,46
1979,24.5000,48
1980,20.5000,40
1981,22.5000,44
1982,15.5000,30
1986,25.5000,50
1987,25.5000,50
1990,23.5000,46
1991,21.5000,42
1994,19.0000,37
1996,18.5000,36
1999,17.0000,33
2000,23.0000,45
2003,20.5000,40
2006,25.5000,50
2007,22.5000,44
2010,14.5000,28
2012,20.5000,40
2013,23.0000,45
2015,17.5000,34
2016,18.0000,35
2017,17.5000,34
2019,17.5000,34
2020,17.0000,33
2023,17.5000,34
2026,17.5000,34
2031,17.5000,34
2032,17.5000,34
2034,17.5000,34
2035,16.5000,32
2037,17.5000,34
2039,17.5000,34
2040,18.0000,35
2042,18.0000,35
2045,17.0000,33
2050,18.0000,35
2051,18.0000,35
2052,16.5000,32
2053,17.0000,33
2054,17.5000,34
2055,17.5000,34
2057,18.0000,35
2059,18.5000,36
2062,17.5000,34
2064,17.0000,33
2065,17.0000,33
2069,17.5000,34
2070,17.0000,33
2072,17.0000,33
2074,17.5000,34
2075,10.5000,20
2077,14.0000,27
2079,5.0000,9
2082,20.5000,40
2083,9.5000,18
2085,14.0000,27
2089,23.0000,45
2091,14.0000,27
2092,22.5000,44
2093,13.0000,25
2096,16.0000,31
2098,16.5000,32
2099,12.5000,24
2100,16.5000,32
2112,70.5000,140
2113,61.0000,121
2114,85.0000,169
2115,87.0000,173
2116,73.5000,146
2118,70.5000,140
2120,92.5000,184
2124,90.0000,179
2125,87.5000,174
2126,83.0000,165
2127,94.5000,188
2130,82.5000,164
2131,87.0000,173
2134,99.0000,197
2138,86.5000,172
2139,87.5000,174
2140,60.5000,120
2142,60.5000,120
2146,87.5000,174
2147,87.5000,174
2148,90.0000,179
2152,63.0000,125
2153,61.0000,121
2154,93.0000,185
2156,88.0000,175
2157,61.0000,121
2160,87.5000,174
2161,76.5000,152
2166,92.5000,184
2168,97.0000,193
2169,102.0000,203
2171,9.0000,17
2172,12.0000,23
2173,11.5000,22
2175,8.0000,15
2177,11.5000,22
2178,13.0000,25
2179,14.0000,27
2181,14.0000,27
2183,10.5000,20
2185,10.5000,20
2186,8.5000,16
2189,14.0000,27
2192,17.5000,34
2196,8.5000,16
2199,8.0000,15
2200,15.0000,29
2201,13.5000,26
2202,13.0000,25
2204,13.0000,25
2205,12.0000,23
2208,13.0000,25
2209,11.5000,22
2211,12.0000,23
2213,14.5000,28
2214,14.0000,27
2218,8.5000,16
2220,13.0000,25
2225,11.0000,21
2227,14.5000,28
2229,10.5000,20
2231,9.0000,17
2233,33.5000,66
2237,20.0000,39
2239,21.5000,42
2240,13.5000,26
2242,25.0000,49
2243,19.5000,38
2246,20.0000,39
2248,31.5000,62
2249,19.0000,37
2252,23.5000,46
2254,18.5000,36
2255,14.5000,28
2256,18.5000,36
2259,44.0000,87
2261,31.0000,61
2262,47.5000,94
2263,47.5000,94
2265,45.0000,89
2267,48.5000,96
2270,45.5000,90
2272,45.5000,90
2275,38.5000,76
2277,35.0000,69
2281,45.5000,90
2283,44.5000,88
2284,44.5000,88
2287,32.0000,63
2288,46.5000,92
2291,46.0000,91
2294,24.5000,48
2297,43.5000,86
2298,28.5000,56
2299,25.0000,49
2300,41.0000,81
2303,46.0000,91
2305,48.5000,96
2306,37.5000,74
2307,41.0000,81
2308,32.5000,64
2310,33.5000,66
2312,39.5000,78
2313,43.0000,85
2314,42.5000,84
2318,41.5000,82
2319,97.5000,194
2322,106.0000,211
2323,64.5000,128
2324,71.0000,141
2325,106.0000,211
2326,101.5000,202
2329,108.5000,216
2330,108.5000,216
2331,76.5000,152
2332,106.0000,211
2335,73.0000,145
2336,102.0000,203
2338,105.0000,209
2342,66.5000,132
2343,101.0000,201
2346,98.5000,196
2348,104.5000,208
2349,103.0000,205
2350,88.0000,175
2351,105.0000,209
2354,109.5000,218
2355,104.5000,208
2356,101.5000,202
2358,101.5000,202
2361,71.0000,141
2362,81.0000,161
2365,88.5000,176
2370,68.0000,135
2373,102.0000,203
2376,92.0000,183
2381,15.0000,29
2382,19.5000,38
2383,18.0000,35
2391,22.5000,44
2394,19.5000,38
2395,19.5000,38
2398,13.5000,26
2399,21.0000,41
2402,13.0000,25
2403,21.0000,41
2404,15.0000,29
2405,18.0000,35
2406,13.0000,25
2407,20.5000,40
2408,16.0000,31
2410,18.5000,36
2412,13.5000,26
2413,18.0000,35
2414,19.0000,37
2416,18.5000,36
2418,19.0000,37
2420,16.0000,31
2422,20.0000,39
2424,21.5000,42
2426,18.0000,35
2428,16.5000,32
2429,24.0000,47
2431,13.0000,25
2432,19.5000,38
2435,16.5000,32
2436,14.5000,28
2442,18.5000,36
2445,25.0000,49
2446,23.5000,46
2447,31.0000,61
2448,42.5000,84
2450,25.5000,50
2453,26.5000,52
2454,41.0000,81
2456,24.0000,47
2458,26.0000,51
2461,40.5000,80
2462,17.0000,33
2464,28.5000,56
2468,24.0000,47
2469,22.0000,43
2472,36.5000,72
2473,25.5000,50
2477,30.0000,59
2478,24.0000,47
2479,32.0000,63
2480,23.5000,46
2484,41.0000,81
2485,8.0000,15
2486,15.5000,30
2487,20.0000,39
2490,24.0000,47
2491,16.5000,32
2494,8.5000,16
2495,10.0000,19
2496,12.0000,23
2497,13.0000,25
2498,9.5000,18
2500,9.5000,18
2502,12.0000,23
2503,12.0000,23
2508,13.5000,26
2509,8.5000,16
2512,15.0000,29
2515,12.5000,24
2516,10.5000,20
2517,7.5000,14
2520,7.5000,14
2521,11.0000,21
2524,11.5000,22
2525,8.0000,15
2527,10.5000,20
2529,13.0000,25
2534,14.0000,27
2536,10.5000,20
2538,10.5000,20
2540,7.5000,14
2541,10.0000,19
2542,11.0000,21
2543,9.5000,18
2545,10.0000,19
2546,8.0000,15
2548,12.0000,23
2553,10.0000,19
2557,3.0000,5
2558,2.0000,3
2560,2.0000,3
2561,3.0000,5
2562,1.0000,1
2563,2.5000,4
2564,4.0000,7
2569,2.0000,3
2572,2.5000,4
2573,1.5000,2
2575,2.5000,4
2577,2.5000,4
2578,1.0000,1
2585,3.0000,5
2589,2.5000,4
2590,2.5000,4
2591,2.5000,4
2593,2.5000,4
2596,1.0000,1
2598,1.5000,2
2600,3.0000,5
2606,1.5000,2
2612,2.0000,3
2613,1.5000,2
2614,2.0000,3
2616,2.0000,3
2617,3.0000,5
2618,2.5000,4
2622,2.0000,3
2623,1.0000,1
2627,2.5000,4
2628,2.5000,4
2629,1.5000,2
2630,2.0000,3
2631,1.0000,1
2633,1.5000,2
2636,2.5000,4
2637,2.5000,4
2638,2.5000,4
2643,3.0000,5
2644,2.5000,4
2648,1.0000,1
2649,2.5000,4
2650,2.0000,3
2655,2.5000,4
2656,2.0000,3
2658,2.5000,4
2661,2.5000,4
2662,2.5000,4
2670,1.0000,1
2671,2.5000,4
2672,2.5000,4
2704,5.5000,10
2705,4.0000,7
2708,5.5000,10
2709,3.0000,5
2711,3.5000,6
2715,3.0000,5
2717,3.0000,5
2718,2.5000,4
2720,2.5000,4
2722,3.5000,6
2723,4.5000,8
2725,3.0000,5
2726,5.0000,9
2731,5.5000,10
2732,4.0000,7
2734,2.0000,3
2738,3.5000,6
2739,2.0000,3
2740,3.5000,6
2743,4.0000,7
2745,3.0000,5
2746,4.5000,8
2747,5.5000,10
2748,4.0000,7
2751,6.0000,11
2752,4.5000,8
2753,4.5000,8
2754,4.0000,7
2757,4.0000,7
2758,3.0000,5
2760,3.5000,6
2765,40.0000,79
2766,43.5000,86
2767,28.5000,56
2769,34.0000,67
2770,42.0000,83
2771,29.0000,57
2772,45.5000,90
2774,42.5000,84
2777,43.0000,85
2784,44.5000,88
2785,34.0000,67
2786,40.0000,79
2792,38.0000,75
2793,45.5000,90
2796,27.0000,53
2797,30.5000,60
2800,38.5000,76
2801,44.5000,88
2802,38.5000,76
2803,29.0000,57
2804,40.5000,80
2806,40.5000,80
2807,45.5000,90
2808,35.0000,69
2810,37.5000,74
2814,42.5000,84
2815,41.0000,81
2816,39.5000,78
2817,45.0000,89
2818,31.0000,61
2821,29.0000,57
2829,10.5000,20
2831,11.5000,22
2832,10.5000,20
2833,11.0000,21
2834,7.5000,14
2835,8.0000,15
2837,8.0000,15
2838,8.0000,15
2839,10.0000,19
2840,13.0000,25
2844,7.5000,14
2845,10.0000,19
2846,9.5000,18
2848,9.0000,17
2850,10.5000,20
2851,12.5000,24
2852,11.5000,22
2853,12.5000,24
2856,13.5000,26
2857,12.5000,24
2862,7.0000,13
2866,11.0000,21
2867,10.0000,19
2870,10.5000,20
2871,12.5000,24
2872,8.0000,15
2876,12.0000,23
2878,16.5000,32
2881,9.5000,18
2883,8.5000,16
2884,11.0000,21
2886,12.5000,24
2888,41.5000,82
2896,13.0000,25
2897,31.0000,61
2903,19.0000,37
2909,35.5000,70
2911,16.0000,31
2918,15.0000,29
2924,32.0000,63
2926,15.0000,29
2934,32.5000,64
2938,12.0000,23
2948,32.5000,64
2951,20.0000,39
2952,31.5000,62
2956,1.0000,1
2957,15.5000,30
2959,17.5000,34
2960,31.0000,61
2961,26.5000,52
2962,7.5000,14
2968,14.5000,28
2971,15.5000,30
2976,21.0000,41
2977,31.5000,62
2984,16.5000,32
2987,34.0000,67
2989,19.5000,38
2990,1.5000,2
2995,25.0000,49
2996,37.5000,74
2997,15.0000,29
3001,30.0000,59
3003,3.0000,5
3004,21.0000,41
3005,18.5000,36
3010,39.0000,77
3011,12.5000,24
3013,18.0000,35
3021,24.0000,47
3022,3.0000,5
3029,15.0000,29
3031,29.0000,57
3032,38.5000,76
3035,9.5000,18
3036,14.0000,27
3037,34.5000,68
3039,12.0000,23
3051,17.5000,34
3052,31.0000,61
3053,16.5000,32
3056,36.0000,71
3058,32.5000,64
3059,21.0000,41
3060,14.5000,28
3062,45.0000,89
3068,18.5000,36
3070,34.5000,68
3072,33.5000,66
3075,31.0000,61
3076,34.0000,67
3078,33.5000,66
3079,29.5000,58
3080,30.0000,59
3082,34.5000,68
3085,32.5000,64
3086,30.5000,60
3087,33.0000,65
3088,32.5000,64
3090,33.0000,65
3091,32.5000,64
3094,33.0000,65
3098,35.0000,69
3105,31.5000,62
3107,37.0000,73
3108,30.5000,60
3109,27.0000,53
3111,31.5000,62
3112,33.5000,66
3115,33.5000,66
3117,33.0000,65
3119,35.0000,69
3121,32.5000,64
3122,8.0000,15
3124,35.0000,69
3125,32.0000,63
3126,33.5000,66
3129,25.5000,50
3130,23.0000,45
3131,23.0000,45
3132,19.0000,37
3133,19.5000,38
3134,23.0000,45
3136,20.5000,40
3137,14.5000,28
3143,24.0000,47
3144,16.0000,31
3145,20.0000,39
3146,24.5000,48
3148,19.5000,38
3149,21.0000,41
3153,14.5000,28
3162,18.5000,36
3165,16.0000,31
3167,19.0000,37
3174,22.5000,44
3175,24.0000,47
3176,21.5000,42
3177,20.5000,40
3178,14.5000,28
3180,14.5000,28
3182,18.0000,35
3183,17.5000,34
3184,19.5000,38
3186,17.0000,33
3187,19.0000,37
3188,21.0000,41
3189,21.5000,42
3190,15.0000,29
3191,4.0000,7
3193,4.0000,7
3194,2.0000,3
3195,3.5000,6
3196,6.0000,11
3198,6.0000,11
3199,3.5000,6
3208,4.0000,7
3209,4.0000,7
3210,4.0000,7
3213,4.0000,7
3215,3.5000,6
3216,6.5000,12
3217,6.0000,11
3224,26.5000,52
3225,82.0000,163
3226,81.5000,162
3227,24.5000,48
3229,56.5000,112
3232,84.5000,168
3233,20.0000,39
3236,26.5000,52
3237,83.0000,165
3246,55.0000,109
3247,3.0000,5
3250,27.5000,54
3251,84.5000,168
3252,85.0000,169
3253,31.0000,61
3256,29.5000,58
3257,82.5000,164
3264,56.5000,112
3268,22.0000,43
3269,82.5000,164
3277,28.5000,56
3278,83.0000,165
3282,59.5000,118
3283,2.5000,4
3292,24.0000,47
3293,82.5000,164
3296,23.0000,45
3297,85.5000,170
3299,53.5000,106
3300,8.5000,16
3316,47.0000,93
3318,23.5000,46
3319,85.5000,170
3320,62.0000,123
3321,10.0000,19
3324,23.5000,46
3325,80.0000,159
3333,32.0000,63
3334,84.5000,168
3341,67.0000,133
3342,13.5000,26
3348,30.0000,59
3349,82.5000,164
3357,23.0000,45
3358,85.5000,170
3359,66.0000,131
3360,20.5000,40
3366,27.5000,54
3367,82.5000,164
3377,73.5000,146
3378,16.5000,32
3381,25.0000,49
3382,84.5000,168
3390,28.0000,55
3391,82.0000,163
3393,19.5000,38
3394,79.5000,158
3398,74.0000,147
3399,20.5000,40
3403,11.0000,21
3405,15.5000,30
3406,14.5000,28
3408,10.0000,19
3410,13.5000,26
3414,11.0000,21
