flight_id,flight_no,total_revenue
13852,PG0548,2699700.00
29150,PG0197,409200.00
29157,PG0197,354200.00
29178,PG0197,399300.00
29142,PG0197,441100.00
29140,PG0197,496100.00
29158,PG0197,495000.00
29151,PG0197,783200.00
29193,PG0197,586300.00
29138,PG0197,1027400.00
29182,PG0197,1093400.00
29169,PG0197,1027400.00
29147,PG0197,905300.00
29170,PG0197,1214400.00
29136,PG0197,1138500.00
29149,PG0197,1103300.00
29160,PG0197,1192400.00
29164,PG0197,1038400.00
29163,PG0197,1204500.00
29162,PG0197,1082400.00
29187,PG0197,1247400.00
29195,PG0197,1192400.00
29189,PG0197,1303500.00
29146,PG0197,1060400.00
29183,PG0197,994400.00
29148,PG0197,1248500.00
29177,PG0197,1182500.00
29186,PG0197,1115400.00
29141,PG0197,1325500.00
29175,PG0197,1047200.00
29176,PG0197,1170400.00
29145,PG0197,1336500.00
29161,PG0197,1202300.00
29174,PG0197,1159400.00
29153,PG0197,1149500.00
29184,PG0197,1248500.00
29194,PG0197,916300.00
29192,PG0197,1093400.00
29156,PG0197,1259500.00
29181,PG0197,1236400.00
29139,PG0197,1214400.00
29190,PG0197,1017500.00
29173,PG0197,1138500.00
29165,PG0197,1027400.00
29171,PG0197,837100.00
29143,PG0197,1237500.00
29166,PG0197,860200.00
29197,PG0506,74900.00
29207,PG0506,96200.00
29231,PG0506,128300.00
29250,PG0506,106900.00
29257,PG0506,96300.00
29256,PG0506,277900.00
29246,PG0506,332500.00
29232,PG0506,503400.00
29215,PG0506,646500.00
29203,PG0506,590100.00
29248,PG0506,770800.00
29235,PG0506,836800.00
29206,PG0506,1018600.00
29244,PG0506,944900.00
29221,PG0506,1170400.00
29247,PG0506,933200.00
29208,PG0506,964200.00
29220,PG0506,1061500.00
29204,PG0506,1041200.00
29222,PG0506,868200.00
29234,PG0506,1233600.00
29219,PG0506,1136400.00
29238,PG0506,1010200.00
29210,PG0506,985400.00
29249,PG0506,955800.00
29233,PG0506,932300.00
29236,PG0506,931200.00
29228,PG0506,921500.00
29230,PG0506,933300.00
29226,PG0506,933400.00
29239,PG0506,1299900.00
29200,PG0506,1158800.00
29198,PG0506,901100.00
29242,PG0506,997300.00
29252,PG0506,866000.00
29223,PG0506,1127500.00
29251,PG0506,995600.00
29224,PG0506,1104400.00
29212,PG0506,1085100.00
29218,PG0506,1190800.00
29225,PG0506,1095600.00
29216,PG0506,914100.00
29227,PG0506,967300.00
29254,PG0506,1061500.00
29253,PG0506,1340400.00
29202,PG0506,872100.00
29213,PG0506,954700.00
29201,PG0506,1020600.00
29214,PG0506,998400.00
8078,PG0408,1040200.00
7947,PG0408,1223900.00
7988,PG0408,1060900.00
8122,PG0408,1067900.00
8069,PG0408,1203100.00
7942,PG0408,1175600.00
8018,PG0408,1202700.00
7968,PG0408,913000.00
8055,PG0408,1128900.00
7960,PG0408,1107500.00
8041,PG0408,1035300.00
7930,PG0408,1176900.00
8031,PG0408,1074400.00
8115,PG0408,1163600.00
7935,PG0408,1053500.00
8128,PG0408,1087900.00
8082,PG0408,1168300.00
7985,PG0408,1055400.00
8159,PG0408,1168600.00
8006,PG0408,1074900.00
8097,PG0408,987400.00
8141,PG0408,1142100.00
7918,PG0408,1047300.00
7998,PG0408,942300.00
7926,PG0408,1008100.00
7941,PG0408,1203000.00
7996,PG0408,1302700.00
8089,PG0408,1068100.00
8073,PG0408,1013400.00
7953,PG0408,1094900.00
8011,PG0408,1121400.00
8132,PG0408,1047500.00
8144,PG0408,1168700.00
8135,PG0408,1162800.00
8037,PG0408,1202900.00
7979,PG0408,1048100.00
8057,PG0408,1156300.00
8002,PG0408,1021900.00
8139,PG0408,1317900.00
7967,PG0408,940500.00
8042,PG0408,1189700.00
7974,PG0408,981100.00
8028,PG0408,1121900.00
8067,PG0408,1169700.00
8025,PG0408,1081000.00
7951,PG0408,1060900.00
8156,PG0408,1177000.00
7982,PG0408,1485100.00
7970,PG0408,1019800.00
8106,PG0408,832200.00
8064,PG0408,637600.00
8630,PG0476,699600.00
8600,PG0476,755400.00
8570,PG0476,795600.00
8540,PG0476,675000.00
8515,PG0476,740400.00
8490,PG0476,725400.00
8455,PG0476,723600.00
8420,PG0476,958800.00
8385,PG0476,984000.00
8370,PG0476,1096800.00
8357,PG0476,1302600.00
8367,PG0476,1138800.00
8382,PG0476,1212000.00
8402,PG0476,1218600.00
8417,PG0476,1205400.00
8432,PG0476,1212600.00
8447,PG0476,1243200.00
8462,PG0476,1266600.00
8487,PG0476,1240800.00
8497,PG0476,1225200.00
8522,PG0476,1242600.00
8532,PG0476,1297200.00
8552,PG0476,1243200.00
8567,PG0476,1213200.00
8582,PG0476,1261200.00
8607,PG0476,1236600.00
8627,PG0476,1254000.00
8637,PG0476,1213200.00
8640,PG0476,1243200.00
8595,PG0476,1200000.00
8555,PG0476,1212000.00
8525,PG0476,1291200.00
8470,PG0476,1224600.00
8435,PG0476,1260000.00
8392,PG0476,1206600.00
8360,PG0476,1291200.00
8407,PG0476,1254000.00
8467,PG0476,1218000.00
8537,PG0476,1291200.00
8617,PG0476,1273200.00
8620,PG0476,1291200.00
8480,PG0476,1284600.00
8352,PG0476,1303200.00
8427,PG0476,1339200.00
8507,PG0476,1273200.00
8587,PG0476,1134000.00
8642,PG0476,1260600.00
8610,PG0476,1309200.00
8575,PG0476,1066800.00
8545,PG0476,990000.00
8510,PG0476,657600.00
8323,PG0230,1023600.00
8205,PG0230,1049100.00
8287,PG0230,934300.00
8226,PG0230,1073700.00
8184,PG0230,928500.00
8166,PG0230,1113100.00
8170,PG0230,962500.00
8210,PG0230,1025200.00
8221,PG0230,1212400.00
8248,PG0230,998200.00
8334,PG0230,1105500.00
8188,PG0230,1225100.00
8202,PG0230,1193800.00
8239,PG0230,1131100.00
8335,PG0230,1231500.00
8201,PG0230,1194300.00
8218,PG0230,1237600.00
8236,PG0230,1131900.00
8203,PG0230,1098900.00
8173,PG0230,1200600.00
8326,PG0230,1206300.00
8220,PG0230,1218200.00
8171,PG0230,1169800.00
8282,PG0230,1116500.00
8231,PG0230,1156800.00
8263,PG0230,1238900.00
8198,PG0230,1207400.00
8179,PG0230,1132700.00
8167,PG0230,1049100.00
8172,PG0230,1151700.00
8192,PG0230,1169300.00
8254,PG0230,1187900.00
8246,PG0230,1195000.00
8342,PG0230,1269700.00
8233,PG0230,1105300.00
8277,PG0230,1097800.00
8195,PG0230,1226400.00
8232,PG0230,1230700.00
8259,PG0230,1188200.00
8339,PG0230,1129800.00
8215,PG0230,1219400.00
8303,PG0230,1261500.00
8308,PG0230,1176400.00
8243,PG0230,1232200.00
8293,PG0230,1371500.00
8285,PG0230,1289800.00
8252,PG0230,1191200.00
8267,PG0230,895900.00
8298,PG0230,492000.00
8177,PG0230,450300.00
2140,PG0220,1767100.00
2153,PG0220,1799600.00
2113,PG0220,1868900.00
2142,PG0220,1764900.00
2157,PG0220,1758900.00
2152,PG0220,1919700.00
2118,PG0220,2114600.00
2112,PG0220,2089300.00
2116,PG0220,2002700.00
2161,PG0220,2253800.00
2125,PG0220,2534300.00
2156,PG0220,2614100.00
2138,PG0220,2556200.00
2166,PG0220,2718500.00
2130,PG0220,2371000.00
2169,PG0220,3030200.00
2168,PG0220,2848200.00
2126,PG0220,2428800.00
2127,PG0220,2767100.00
2160,PG0220,2580500.00
2134,PG0220,2938600.00
2131,PG0220,2543600.00
2147,PG0220,2555200.00
2120,PG0220,2766900.00
2154,PG0220,2753200.00
2139,PG0220,2671800.00
2124,PG0220,2545000.00
2148,PG0220,2636300.00
2146,PG0220,2558500.00
2114,PG0220,2521400.00
2115,PG0220,2544700.00
2119,PG0220,2882800.00
2122,PG0220,2592100.00
2150,PG0220,2952600.00
2165,PG0220,2848000.00
2143,PG0220,2662000.00
2129,PG0220,2578500.00
2163,PG0220,2452000.00
2110,PG0220,2578600.00
2149,PG0220,2592100.00
2145,PG0220,2627900.00
2159,PG0220,2500100.00
2164,PG0220,2671000.00
2136,PG0220,2709200.00
2141,PG0220,2069500.00
2135,PG0220,1361600.00
2151,PG0220,1700100.00
2132,PG0220,1245600.00
487,PG0216,911500.00
440,PG0216,986600.00
465,PG0216,936000.00
475,PG0216,980300.00
443,PG0216,1043900.00
451,PG0216,1107900.00
471,PG0216,1281100.00
438,PG0216,1124600.00
461,PG0216,1238900.00
435,PG0216,1444500.00
480,PG0216,1462700.00
441,PG0216,1502800.00
447,PG0216,1233500.00
476,PG0216,1504400.00
430,PG0216,1469900.00
442,PG0216,1502600.00
434,PG0216,1461600.00
482,PG0216,1485000.00
473,PG0216,1511000.00
462,PG0216,1595000.00
433,PG0216,1418900.00
474,PG0216,1805500.00
479,PG0216,1674400.00
429,PG0216,1382600.00
453,PG0216,1477400.00
458,PG0216,1592500.00
455,PG0216,1249700.00
470,PG0216,1544600.00
469,PG0216,1396300.00
436,PG0216,1344800.00
483,PG0216,1535200.00
459,PG0216,1362700.00
445,PG0216,1626400.00
454,PG0216,1583600.00
452,PG0216,1537100.00
432,PG0216,1380800.00
437,PG0216,1461700.00
477,PG0216,1406700.00
448,PG0216,1578100.00
450,PG0216,1365100.00
488,PG0216,1266800.00
463,PG0216,1436100.00
472,PG0216,1599100.00
485,PG0216,1135100.00
486,PG0216,878600.00
444,PG0216,755000.00
439,PG0216,812300.00
5354,PG0225,2652800.00
5304,PG0225,3341900.00
5305,PG0225,3487000.00
5352,PG0225,3991700.00
5309,PG0225,4126900.00
5345,PG0225,3838500.00
5337,PG0225,4233900.00
5316,PG0225,4846300.00
5359,PG0225,4690700.00
5331,PG0225,5496600.00
5319,PG0225,5306800.00
5310,PG0225,5551100.00
5333,PG0225,6125000.00
5312,PG0225,6002000.00
5356,PG0225,6222700.00
5314,PG0225,5667800.00
5317,PG0225,5889600.00
5308,PG0225,5711000.00
5341,PG0225,5961300.00
5336,PG0225,5997200.00
5328,PG0225,6121000.00
5360,PG0225,6231300.00
5307,PG0225,6131100.00
5355,PG0225,6178500.00
5332,PG0225,5872100.00
5321,PG0225,5525400.00
5351,PG0225,5946900.00
5303,PG0225,6077400.00
5348,PG0225,5928200.00
5353,PG0225,6059600.00
5344,PG0225,6141000.00
5346,PG0225,5797300.00
5311,PG0225,6132300.00
5347,PG0225,5887800.00
5322,PG0225,5975700.00
5342,PG0225,5939800.00
5325,PG0225,6204100.00
5320,PG0225,6269000.00
5324,PG0225,6287600.00
5330,PG0225,6304900.00
5329,PG0225,6155600.00
5362,PG0225,6273500.00
5306,PG0225,6128200.00
5339,PG0225,6052000.00
5327,PG0225,5578600.00
5343,PG0225,4497900.00
5318,PG0225,4357500.00
5340,PG0225,4095100.00
5323,PG0225,3382400.00
5315,PG0225,3490900.00
26185,PG0209,5793400.00
26174,PG0209,6211500.00
26195,PG0209,6297800.00
26206,PG0209,6476100.00
26197,PG0209,6488500.00
26203,PG0209,6353100.00
26183,PG0209,6961900.00
26207,PG0209,8954700.00
26192,PG0209,9379000.00
26188,PG0209,11525300.00
26163,PG0209,12454000.00
26179,PG0209,13388900.00
26181,PG0209,15781200.00
26198,PG0209,15971900.00
26200,PG0209,15787400.00
26172,PG0209,16094900.00
26204,PG0209,15916600.00
26209,PG0209,14926400.00
26162,PG0209,16593100.00
26208,PG0209,15732100.00
26157,PG0209,16285600.00
26178,PG0209,15166200.00
26173,PG0209,16531600.00
26158,PG0209,15978100.00
26201,PG0209,16531600.00
26184,PG0209,15848900.00
26202,PG0209,15418400.00
26216,PG0209,16340900.00
26194,PG0209,15399800.00
26189,PG0209,15787400.00
26168,PG0209,16470100.00
26165,PG0209,15289200.00
26193,PG0209,16162600.00
26170,PG0209,14618900.00
26210,PG0209,15602900.00
26177,PG0209,15609100.00
26187,PG0209,15233900.00
26190,PG0209,14311400.00
26212,PG0209,17023600.00
26160,PG0209,15965700.00
26167,PG0209,16205500.00
26199,PG0209,15916600.00
26176,PG0209,16224100.00
26180,PG0209,16408600.00
26159,PG0209,11482400.00
26164,PG0209,12693800.00
26191,PG0209,12657100.00
26171,PG0209,10799700.00
26680,PG0328,292200.00
26697,PG0328,286500.00
26681,PG0328,310700.00
26696,PG0328,298300.00
26710,PG0328,322300.00
26736,PG0328,303900.00
26737,PG0328,292100.00
26732,PG0328,378800.00
26705,PG0328,416900.00
26694,PG0328,416800.00
26719,PG0328,596600.00
26712,PG0328,559500.00
26725,PG0328,665300.00
26729,PG0328,646100.00
26717,PG0328,622000.00
26722,PG0328,621900.00
26706,PG0328,640600.00
26689,PG0328,622000.00
26688,PG0328,739600.00
26679,PG0328,708600.00
26721,PG0328,640000.00
26727,PG0328,659100.00
26701,PG0328,683300.00
26695,PG0328,702500.00
26713,PG0328,683300.00
26738,PG0328,583700.00
26687,PG0328,690200.00
26731,PG0328,627000.00
26730,PG0328,652900.00
26692,PG0328,671600.00
26699,PG0328,615300.00
26684,PG0328,633800.00
26733,PG0328,626900.00
26702,PG0328,597300.00
26735,PG0328,733400.00
26709,PG0328,639400.00
26698,PG0328,589200.00
26685,PG0328,584200.00
26716,PG0328,745800.00
26714,PG0328,653000.00
26734,PG0328,714800.00
26708,PG0328,539800.00
26704,PG0328,695700.00
26690,PG0328,677800.00
26683,PG0328,384900.00
26739,PG0328,565500.00
26726,PG0328,378600.00
20993,PG0252,699000.00
20982,PG0252,807600.00
21041,PG0252,712400.00
21014,PG0252,623400.00
21002,PG0252,810000.00
20981,PG0252,879600.00
20999,PG0252,856400.00
21039,PG0252,1028400.00
21006,PG0252,1149200.00
20986,PG0252,1385800.00
21029,PG0252,1373600.00
20995,PG0252,1764000.00
21040,PG0252,1518800.00
21027,PG0252,1629800.00
21028,PG0252,1810400.00
21000,PG0252,1605400.00
21022,PG0252,1837200.00
21012,PG0252,1617600.00
21019,PG0252,1456600.00
20994,PG0252,1468800.00
21016,PG0252,1715200.00
20996,PG0252,1654200.00
21007,PG0252,1703000.00
21031,PG0252,1640800.00
21025,PG0252,1593200.00
21037,PG0252,1568800.00
20997,PG0252,1726200.00
21033,PG0252,1714000.00
20991,PG0252,1544400.00
21013,PG0252,1873800.00
21038,PG0252,1727400.00
21003,PG0252,1712800.00
21008,PG0252,1886000.00
21018,PG0252,1886000.00
20989,PG0252,1370000.00
20990,PG0252,1577400.00
21023,PG0252,1479800.00
21021,PG0252,1578600.00
21005,PG0252,1751800.00
21026,PG0252,1396800.00
21011,PG0252,1836000.00
20998,PG0252,1812800.00
21030,PG0252,1689600.00
21017,PG0252,1162600.00
20985,PG0252,1422400.00
21009,PG0252,1128400.00
21103,PG0480,18900.00
31103,PG0119,64700.00
21096,PG0480,18900.00
31120,PG0119,54300.00
21084,PG0480,44100.00
31102,PG0119,75500.00
21073,PG0480,18900.00
31154,PG0119,81200.00
21065,PG0480,37800.00
31118,PG0119,92500.00
21058,PG0480,63000.00
31144,PG0119,86800.00
21061,PG0480,44100.00
31133,PG0119,97400.00
21081,PG0480,177000.00
31131,PG0119,151400.00
21108,PG0480,226800.00
31136,PG0119,184300.00
21109,PG0480,379800.00
31114,PG0119,210700.00
21090,PG0480,517800.00
31156,PG0119,313800.00
21078,PG0480,556200.00
31130,PG0119,400200.00
21068,PG0480,689100.00
31128,PG0119,357300.00
21052,PG0480,682800.00
31146,PG0119,460200.00
21057,PG0480,708600.00
31099,PG0119,346700.00
21060,PG0480,765300.00
31121,PG0119,458200.00
21067,PG0480,695400.00
31123,PG0119,394400.00
21074,PG0480,746400.00
31109,PG0119,449200.00
21079,PG0480,619200.00
31152,PG0119,383500.00
21083,PG0480,727500.00
31106,PG0119,481100.00
21091,PG0480,746400.00
31111,PG0119,404700.00
21097,PG0480,658200.00
31137,PG0119,444000.00
21102,PG0480,765300.00
31140,PG0119,470500.00
21110,PG0480,759000.00
31125,PG0119,464400.00
21106,PG0480,657600.00
31147,PG0119,401000.00
21071,PG0480,765300.00
31104,PG0119,444000.00
21082,PG0480,701700.00
31126,PG0119,448300.00
21069,PG0480,758400.00
31119,PG0119,481700.00
21085,PG0480,714300.00
31107,PG0119,433200.00
21075,PG0480,644400.00
31139,PG0119,411800.00
21104,PG0480,638100.00
31150,PG0119,400800.00
21092,PG0480,765300.00
31135,PG0119,415500.00
21076,PG0480,658200.00
31153,PG0119,422500.00
21063,PG0480,746400.00
31148,PG0119,363300.00
21056,PG0480,765300.00
31108,PG0119,454800.00
21087,PG0480,689700.00
31129,PG0119,433600.00
21105,PG0480,727500.00
31122,PG0119,411700.00
21111,PG0480,746400.00
31127,PG0119,481100.00
21072,PG0480,726900.00
31101,PG0119,444500.00
21098,PG0480,733800.00
31124,PG0119,427400.00
21099,PG0480,765300.00
31151,PG0119,449800.00
21053,PG0480,746400.00
31110,PG0119,460300.00
21093,PG0480,759000.00
31138,PG0119,417300.00
21059,PG0480,765300.00
31105,PG0119,476800.00
21088,PG0480,746400.00
31134,PG0119,410700.00
21100,PG0480,752700.00
31158,PG0119,502500.00
21054,PG0480,765300.00
31132,PG0119,455100.00
21051,PG0480,682800.00
31112,PG0119,470800.00
20159,PG0211,745700.00
20115,PG0211,782000.00
20123,PG0211,717200.00
20131,PG0211,740500.00
20147,PG0211,754700.00
20153,PG0211,691100.00
20161,PG0211,988700.00
20135,PG0211,965300.00
20111,PG0211,1069300.00
20110,PG0211,1225100.00
20116,PG0211,1330300.00
20125,PG0211,1448600.00
20141,PG0211,1188700.00
20156,PG0211,1407200.00
20160,PG0211,1536900.00
20151,PG0211,1461700.00
20149,PG0211,1422600.00
20140,PG0211,1553800.00
20132,PG0211,1578600.00
20126,PG0211,1589000.00
20101,PG0211,1562900.00
20119,PG0211,1355400.00
20109,PG0211,1486600.00
20105,PG0211,1473300.00
20104,PG0211,1526500.00
20128,PG0211,1213500.00
20148,PG0211,1669400.00
20143,PG0211,1434400.00
20106,PG0211,1590200.00
20145,PG0211,1523800.00
20113,PG0211,1385200.00
20117,PG0211,1539700.00
20127,PG0211,1577100.00
20146,PG0211,1695300.00
20158,PG0211,1395500.00
20134,PG0211,1578400.00
20152,PG0211,1552700.00
20139,PG0211,1369400.00
20150,PG0211,1278300.00
20122,PG0211,1423800.00
20136,PG0211,1643400.00
20142,PG0211,1669400.00
20103,PG0211,1473200.00
20102,PG0211,1447200.00
20130,PG0211,1488800.00
20107,PG0211,1200500.00
20138,PG0211,1201700.00
20112,PG0211,1695400.00
20144,PG0211,588700.00
20272,PG0150,136400.00
26926,PG0678,690200.00
20278,PG0150,120800.00
26880,PG0678,688500.00
20258,PG0150,113200.00
26889,PG0678,773500.00
20251,PG0150,64000.00
26925,PG0678,508200.00
20280,PG0150,152800.00
26936,PG0678,856000.00
20298,PG0150,20000.00
26927,PG0678,362100.00
20293,PG0150,101200.00
26895,PG0678,935900.00
20265,PG0150,128800.00
26881,PG0678,1121100.00
20282,PG0150,312800.00
26921,PG0678,1691800.00
20261,PG0150,256400.00
26910,PG0678,1611100.00
20277,PG0150,361600.00
26905,PG0678,2137300.00
20306,PG0150,390000.00
26903,PG0678,2040700.00
20269,PG0150,446000.00
26912,PG0678,2203000.00
20300,PG0150,393600.00
26939,PG0678,2189700.00
20287,PG0150,365600.00
26934,PG0678,2534000.00
20299,PG0150,422000.00
26920,PG0678,2370200.00
20288,PG0150,342000.00
26883,PG0678,2008000.00
20273,PG0150,405200.00
26907,PG0678,2419300.00
20255,PG0150,410000.00
26906,PG0678,2271700.00
20303,PG0150,438000.00
26922,PG0678,2368600.00
20253,PG0150,458000.00
26908,PG0678,2337200.00
20268,PG0150,409600.00
26909,PG0678,2204600.00
20283,PG0150,422000.00
26931,PG0678,2402800.00
20292,PG0150,437600.00
26887,PG0678,2484800.00
20259,PG0150,374000.00
26893,PG0678,2138800.00
20249,PG0150,338000.00
26924,PG0678,2319200.00
20296,PG0150,396800.00
26915,PG0678,2237200.00
20309,PG0150,445600.00
26901,PG0678,2452000.00
20281,PG0150,446000.00
26892,PG0678,2301300.00
20252,PG0150,406000.00
26890,PG0678,2401400.00
20302,PG0150,434000.00
26898,PG0678,2286500.00
20279,PG0150,332800.00
26916,PG0678,2025900.00
20308,PG0150,426000.00
26882,PG0678,2304500.00
20274,PG0150,438000.00
26938,PG0678,2434000.00
20264,PG0150,466000.00
26911,PG0678,2501200.00
20271,PG0150,433600.00
26917,PG0678,2337200.00
20294,PG0150,450000.00
26937,PG0678,2435700.00
20254,PG0150,441600.00
26918,PG0678,2286600.00
20290,PG0150,466000.00
26886,PG0678,2534000.00
20250,PG0150,438000.00
26932,PG0678,2402900.00
20301,PG0150,429600.00
26904,PG0678,2534000.00
20257,PG0150,458000.00
26897,PG0678,2534000.00
20275,PG0150,430000.00
26894,PG0678,2534000.00
20297,PG0150,453600.00
26930,PG0678,2534000.00
20263,PG0150,465600.00
26933,PG0678,2370100.00
20276,PG0150,338000.00
26899,PG0678,1676700.00
20291,PG0150,478000.00
26919,PG0678,2320800.00
20260,PG0150,341600.00
26896,PG0678,1809600.00
20266,PG0150,286000.00
26888,PG0678,1578200.00
14551,PG0413,411300.00
20234,PG0320,602400.00
14534,PG0413,399000.00
20208,PG0320,478900.00
14543,PG0413,288900.00
20205,PG0320,514200.00
14563,PG0413,577300.00
20188,PG0320,549500.00
14557,PG0413,655700.00
20203,PG0320,600400.00
14540,PG0413,980900.00
20198,PG0320,598700.00
14576,PG0413,1168100.00
20186,PG0320,745000.00
14553,PG0413,1490900.00
20223,PG0320,708000.00
14586,PG0413,1798700.00
20235,PG0320,1111500.00
14585,PG0413,2718900.00
20238,PG0320,1026900.00
14548,PG0413,2901200.00
20222,PG0320,1114800.00
14546,PG0413,3407100.00
20232,PG0320,1204800.00
14584,PG0413,3647100.00
20184,PG0320,1112800.00
14591,PG0413,3988700.00
20227,PG0320,1186900.00
14581,PG0413,3678800.00
20225,PG0320,1400000.00
14561,PG0413,3529000.00
20228,PG0320,1252000.00
14559,PG0413,4243500.00
20212,PG0320,1609500.00
14570,PG0413,4138300.00
20219,PG0320,1289200.00
14556,PG0413,3993300.00
20230,PG0320,1519800.00
14550,PG0413,3833100.00
20191,PG0320,1273300.00
14547,PG0413,3931200.00
20207,PG0320,1414200.00
14571,PG0413,3593600.00
20210,PG0320,1183400.00
14590,PG0413,4285400.00
20190,PG0320,1396500.00
14552,PG0413,3947700.00
20199,PG0320,1396700.00
14537,PG0413,3723200.00
20200,PG0320,1130600.00
14566,PG0413,4049500.00
20206,PG0320,1361300.00
14535,PG0413,3829800.00
20229,PG0320,1097100.00
14541,PG0413,3869400.00
20192,PG0320,1329700.00
14587,PG0413,3920300.00
20226,PG0320,1148200.00
14589,PG0413,4059800.00
20187,PG0320,1611700.00
14569,PG0413,3730000.00
20204,PG0320,1432000.00
14577,PG0413,3994100.00
20189,PG0320,1341900.00
14554,PG0413,3941500.00
20211,PG0320,1292600.00
14567,PG0413,4201600.00
20195,PG0320,1449600.00
14549,PG0413,3959000.00
20181,PG0320,1447700.00
14574,PG0413,3889600.00
20221,PG0320,1128700.00
14593,PG0413,3857700.00
