booking_date,total_bookings,total_revenue
"2017-06-24 09:49:00",1,50400.00
"2017-06-24 09:54:00",1,91600.00
"2017-06-24 10:31:00",1,167400.00
"2017-06-24 10:48:00",1,22000.00
"2017-06-24 10:53:00",1,137200.00
"2017-06-24 11:08:00",1,215500.00
"2017-06-24 11:26:00",1,273000.00
"2017-06-24 11:30:00",1,86600.00
"2017-06-24 12:03:00",1,22600.00
"2017-06-24 12:08:00",1,78000.00
"2017-06-24 12:50:00",1,46200.00
"2017-06-24 12:58:00",1,136200.00
"2017-06-24 13:15:00",1,44000.00
"2017-06-24 13:37:00",1,13000.00
"2017-06-24 14:36:00",1,118200.00
"2017-06-24 15:03:00",1,28800.00
"2017-06-24 15:16:00",1,77000.00
"2017-06-24 15:37:00",1,64100.00
"2017-06-24 15:52:00",1,31400.00
"2017-06-24 16:16:00",1,28600.00
"2017-06-24 16:21:00",1,6800.00
"2017-06-24 16:29:00",1,55800.00
"2017-06-24 17:10:00",1,28700.00
"2017-06-24 17:17:00",1,31700.00
"2017-06-24 17:18:00",1,70800.00
"2017-06-24 17:24:00",1,83500.00
"2017-06-24 18:02:00",1,14400.00
"2017-06-24 18:23:00",1,167400.00
"2017-06-24 19:16:00",2,268600.00
"2017-06-24 19:54:00",1,87600.00
"2017-06-24 19:59:00",1,23200.00
"2017-06-24 20:01:00",1,62600.00
"2017-06-24 20:03:00",1,198600.00
"2017-06-24 20:09:00",1,27300.00
"2017-06-24 20:24:00",1,69500.00
"2017-06-24 21:16:00",1,28000.00
"2017-06-24 21:44:00",1,26800.00
"2017-06-24 21:48:00",1,123000.00
"2017-06-24 22:25:00",1,41200.00
"2017-06-24 22:42:00",1,31000.00
"2017-06-24 23:45:00",1,34000.00
"2017-06-24 23:59:00",1,77000.00
"2017-06-25 00:02:00",1,201100.00
"2017-06-25 00:03:00",1,88800.00
"2017-06-25 00:07:00",1,21800.00
"2017-06-25 00:11:00",1,23600.00
"2017-06-25 00:14:00",1,119500.00
"2017-06-25 00:16:00",1,87200.00
"2017-06-25 00:49:00",1,28000.00
"2017-06-25 00:55:00",1,135600.00
"2017-06-25 00:56:00",2,91500.00
"2017-06-25 01:14:00",1,48800.00
"2017-06-25 01:25:00",1,28800.00
"2017-06-25 01:26:00",1,17000.00
"2017-06-25 01:35:00",1,56000.00
"2017-06-25 01:43:00",1,203800.00
"2017-06-25 01:44:00",1,81300.00
"2017-06-25 01:59:00",1,27200.00
"2017-06-25 02:01:00",1,6000.00
"2017-06-25 02:04:00",1,111000.00
"2017-06-25 02:22:00",1,46000.00
"2017-06-25 02:24:00",1,59300.00
"2017-06-25 02:25:00",1,68800.00
"2017-06-25 02:34:00",1,26600.00
"2017-06-25 02:35:00",1,36800.00
"2017-06-25 02:37:00",1,66600.00
"2017-06-25 02:45:00",1,40800.00
"2017-06-25 02:55:00",1,16400.00
"2017-06-25 03:08:00",1,52900.00
"2017-06-25 03:10:00",1,132800.00
"2017-06-25 03:12:00",1,75300.00
"2017-06-25 03:13:00",1,40800.00
"2017-06-25 03:27:00",1,237200.00
"2017-06-25 03:39:00",1,198800.00
"2017-06-25 03:41:00",1,64400.00
"2017-06-25 03:49:00",1,34000.00
"2017-06-25 03:57:00",1,56600.00
"2017-06-25 04:06:00",1,132900.00
"2017-06-25 04:11:00",1,40200.00
"2017-06-25 04:19:00",1,48500.00
"2017-06-25 04:22:00",1,20200.00
"2017-06-25 04:37:00",1,31400.00
"2017-06-25 04:44:00",1,85000.00
"2017-06-25 04:58:00",1,36200.00
"2017-06-25 04:59:00",1,162700.00
"2017-06-25 05:28:00",1,147800.00
"2017-06-25 05:30:00",2,75300.00
"2017-06-25 05:47:00",1,43600.00
"2017-06-25 05:48:00",1,28800.00
"2017-06-25 05:50:00",1,176200.00
"2017-06-25 05:52:00",1,123000.00
"2017-06-25 05:55:00",1,67000.00
"2017-06-25 06:14:00",1,24800.00
"2017-06-25 06:32:00",1,46400.00
"2017-06-25 06:43:00",1,111700.00
"2017-06-25 06:49:00",1,46400.00
"2017-06-25 06:58:00",1,56000.00
"2017-06-25 07:09:00",1,30000.00
"2017-06-25 07:13:00",2,106400.00
"2017-06-25 07:17:00",1,106400.00
"2017-06-25 07:23:00",1,255600.00
"2017-06-25 07:30:00",1,75300.00
"2017-06-25 07:39:00",1,8200.00
"2017-06-25 07:46:00",1,136800.00
"2017-06-25 08:13:00",1,115900.00
"2017-06-25 08:21:00",1,51000.00
"2017-06-25 08:23:00",1,399600.00
"2017-06-25 08:36:00",1,19600.00
"2017-06-25 08:38:00",1,26500.00
"2017-06-25 08:53:00",1,73600.00
"2017-06-25 09:02:00",1,134600.00
"2017-06-25 09:22:00",1,258400.00
"2017-06-25 09:24:00",1,146300.00
"2017-06-25 09:26:00",1,56600.00
"2017-06-25 09:27:00",1,147700.00
"2017-06-25 09:28:00",1,16800.00
"2017-06-25 09:31:00",1,26000.00
"2017-06-25 09:36:00",1,159100.00
"2017-06-25 09:47:00",1,41200.00
"2017-06-25 09:48:00",1,20400.00
"2017-06-25 09:49:00",1,79600.00
"2017-06-25 09:56:00",1,40400.00
"2017-06-25 10:09:00",1,125400.00
"2017-06-25 10:34:00",1,23400.00
"2017-06-25 10:41:00",2,166000.00
"2017-06-25 10:46:00",1,93900.00
"2017-06-25 10:48:00",1,7400.00
"2017-06-25 10:53:00",1,113700.00
"2017-06-25 11:01:00",1,26700.00
"2017-06-25 11:17:00",1,206400.00
"2017-06-25 11:26:00",1,60400.00
"2017-06-25 11:42:00",1,10100.00
"2017-06-25 12:07:00",1,173200.00
"2017-06-25 12:14:00",1,88600.00
"2017-06-25 12:20:00",1,67800.00
"2017-06-25 12:30:00",2,96400.00
"2017-06-25 12:33:00",1,81600.00
"2017-06-25 12:52:00",1,30000.00
"2017-06-25 13:01:00",1,92800.00
"2017-06-25 13:07:00",1,295400.00
"2017-06-25 13:44:00",1,51900.00
"2017-06-25 13:58:00",1,70400.00
"2017-06-25 14:08:00",1,86200.00
"2017-06-25 14:15:00",1,26000.00
"2017-06-25 14:22:00",1,14800.00
"2017-06-25 14:24:00",1,134400.00
"2017-06-25 14:29:00",1,55800.00
"2017-06-25 14:34:00",1,145200.00
"2017-06-25 14:35:00",1,53700.00
"2017-06-25 14:41:00",1,136600.00
"2017-06-25 15:04:00",1,46400.00
"2017-06-25 15:08:00",1,65900.00
"2017-06-25 15:16:00",1,99200.00
"2017-06-25 15:25:00",1,492000.00
"2017-06-25 15:28:00",1,47000.00
"2017-06-25 15:29:00",2,83500.00
"2017-06-25 15:38:00",1,83200.00
"2017-06-25 15:45:00",1,121400.00
"2017-06-25 15:48:00",1,85200.00
"2017-06-25 15:58:00",1,73500.00
"2017-06-25 16:01:00",1,11600.00
"2017-06-25 16:11:00",1,6300.00
"2017-06-25 16:25:00",3,160900.00
"2017-06-25 16:27:00",1,128800.00
"2017-06-25 16:33:00",1,29600.00
"2017-06-25 16:41:00",1,187800.00
"2017-06-25 16:59:00",1,172100.00
"2017-06-25 17:07:00",1,77000.00
"2017-06-25 17:09:00",1,149300.00
"2017-06-25 17:33:00",1,113300.00
"2017-06-25 17:37:00",1,18600.00
"2017-06-25 17:46:00",1,35200.00
"2017-06-25 17:48:00",1,26000.00
"2017-06-25 17:54:00",1,66600.00
"2017-06-25 17:58:00",1,48800.00
"2017-06-25 18:03:00",1,57800.00
"2017-06-25 18:05:00",1,92800.00
"2017-06-25 18:06:00",1,62600.00
"2017-06-25 18:14:00",1,7400.00
"2017-06-25 18:15:00",1,16400.00
"2017-06-25 18:30:00",1,112600.00
"2017-06-25 18:31:00",1,147200.00
"2017-06-25 18:32:00",1,179700.00
"2017-06-25 18:41:00",1,76900.00
"2017-06-25 18:44:00",1,23600.00
"2017-06-25 19:04:00",1,36200.00
"2017-06-25 19:07:00",1,126500.00
"2017-06-25 19:12:00",1,34800.00
"2017-06-25 19:24:00",1,150600.00
"2017-06-25 19:35:00",1,48800.00
"2017-06-25 19:39:00",1,43800.00
"2017-06-25 19:45:00",1,118400.00
"2017-06-25 20:01:00",1,51800.00
"2017-06-25 20:11:00",1,28200.00
"2017-06-25 20:19:00",1,103200.00
"2017-06-25 20:20:00",1,16400.00
"2017-06-25 20:29:00",1,240600.00
"2017-06-25 20:50:00",1,57500.00
"2017-06-25 20:55:00",1,28800.00
"2017-06-25 20:56:00",1,111600.00
"2017-06-25 21:15:00",1,58200.00
"2017-06-25 21:26:00",1,28000.00
"2017-06-25 21:31:00",1,103000.00
"2017-06-25 21:38:00",1,53100.00
"2017-06-25 21:44:00",1,152900.00
"2017-06-25 21:45:00",1,56100.00
"2017-06-25 21:53:00",1,97800.00
"2017-06-25 21:55:00",1,160200.00
"2017-06-25 22:06:00",1,97200.00
"2017-06-25 22:22:00",1,32700.00
"2017-06-25 22:46:00",1,44800.00
"2017-06-25 22:48:00",1,75600.00
"2017-06-25 22:50:00",1,60800.00
"2017-06-25 22:53:00",1,24400.00
"2017-06-25 22:57:00",1,21800.00
"2017-06-25 23:11:00",1,13000.00
"2017-06-25 23:12:00",1,19600.00
"2017-06-25 23:17:00",1,32800.00
"2017-06-25 23:22:00",1,31400.00
"2017-06-25 23:27:00",2,169000.00
"2017-06-25 23:29:00",1,28800.00
"2017-06-25 23:34:00",1,86400.00
"2017-06-25 23:51:00",1,47200.00
"2017-06-25 23:53:00",1,205800.00
"2017-06-26 00:07:00",2,228400.00
"2017-06-26 00:08:00",1,124600.00
"2017-06-26 00:27:00",1,26200.00
"2017-06-26 00:28:00",1,67700.00
"2017-06-26 00:31:00",1,246000.00
"2017-06-26 00:39:00",1,32400.00
"2017-06-26 00:43:00",1,29200.00
"2017-06-26 00:49:00",1,46300.00
"2017-06-26 00:53:00",1,28000.00
"2017-06-26 01:00:00",1,46000.00
"2017-06-26 01:04:00",1,48200.00
"2017-06-26 01:07:00",1,81700.00
"2017-06-26 01:08:00",1,67400.00
"2017-06-26 01:10:00",2,83700.00
"2017-06-26 01:11:00",1,55800.00
"2017-06-26 01:14:00",1,192400.00
"2017-06-26 01:15:00",1,24400.00
"2017-06-26 01:17:00",1,28700.00
"2017-06-26 01:19:00",1,50600.00
"2017-06-26 01:21:00",1,37900.00
"2017-06-26 01:27:00",1,101200.00
"2017-06-26 01:31:00",1,40300.00
"2017-06-26 01:33:00",1,26700.00
"2017-06-26 01:40:00",1,27000.00
"2017-06-26 02:02:00",1,55800.00
"2017-06-26 02:08:00",1,28000.00
"2017-06-26 02:09:00",1,12200.00
"2017-06-26 02:11:00",1,30200.00
"2017-06-26 02:12:00",1,143100.00
"2017-06-26 02:16:00",1,31600.00
"2017-06-26 02:24:00",2,308500.00
"2017-06-26 02:28:00",1,273500.00
"2017-06-26 02:33:00",2,51800.00
"2017-06-26 02:39:00",1,28700.00
"2017-06-26 02:42:00",1,49700.00
"2017-06-26 02:43:00",2,524800.00
"2017-06-26 03:00:00",1,42800.00
"2017-06-26 03:12:00",1,26700.00
"2017-06-26 03:17:00",1,37500.00
"2017-06-26 03:20:00",1,141700.00
"2017-06-26 03:21:00",1,26800.00
"2017-06-26 03:26:00",1,23900.00
"2017-06-26 03:27:00",2,142900.00
"2017-06-26 03:31:00",1,21400.00
"2017-06-26 03:41:00",1,61800.00
"2017-06-26 03:46:00",2,51400.00
"2017-06-26 03:47:00",4,437500.00
"2017-06-26 03:52:00",1,57600.00
"2017-06-26 03:58:00",1,65500.00
"2017-06-26 04:11:00",1,56600.00
"2017-06-26 04:16:00",1,54400.00
"2017-06-26 04:17:00",1,73500.00
"2017-06-26 04:18:00",1,141100.00
"2017-06-26 04:20:00",1,6900.00
"2017-06-26 04:25:00",1,96800.00
"2017-06-26 04:26:00",1,13600.00
"2017-06-26 04:28:00",1,68400.00
"2017-06-26 04:30:00",1,142400.00
"2017-06-26 04:33:00",2,205300.00
"2017-06-26 04:35:00",1,92000.00
"2017-06-26 04:42:00",2,130800.00
"2017-06-26 04:48:00",1,44700.00
"2017-06-26 04:57:00",1,14000.00
"2017-06-26 05:01:00",1,47200.00
"2017-06-26 05:07:00",1,265700.00
"2017-06-26 05:14:00",1,246000.00
"2017-06-26 05:15:00",2,470500.00
"2017-06-26 05:20:00",2,113000.00
"2017-06-26 05:21:00",1,85700.00
"2017-06-26 05:23:00",2,76000.00
"2017-06-26 05:24:00",1,40300.00
"2017-06-26 05:25:00",1,12600.00
"2017-06-26 05:27:00",1,176400.00
"2017-06-26 05:28:00",1,66600.00
"2017-06-26 05:37:00",1,9200.00
"2017-06-26 05:44:00",1,26800.00
"2017-06-26 05:49:00",1,115900.00
"2017-06-26 05:54:00",1,265700.00
"2017-06-26 05:55:00",1,339900.00
"2017-06-26 05:58:00",1,66200.00
"2017-06-26 06:04:00",1,11800.00
"2017-06-26 06:06:00",1,26700.00
"2017-06-26 06:08:00",1,110000.00
"2017-06-26 06:11:00",1,46400.00
"2017-06-26 06:16:00",1,53300.00
"2017-06-26 06:17:00",1,149000.00
"2017-06-26 06:20:00",2,76600.00
"2017-06-26 06:21:00",1,27200.00
"2017-06-26 06:25:00",1,22000.00
"2017-06-26 06:28:00",1,78400.00
"2017-06-26 06:32:00",1,95200.00
"2017-06-26 06:36:00",1,60400.00
"2017-06-26 06:39:00",1,58400.00
"2017-06-26 06:40:00",1,65900.00
"2017-06-26 06:46:00",2,313500.00
"2017-06-26 06:52:00",1,46700.00
"2017-06-26 06:54:00",2,181500.00
"2017-06-26 07:07:00",1,38600.00
"2017-06-26 07:11:00",1,23600.00
"2017-06-26 07:14:00",1,50200.00
"2017-06-26 07:17:00",2,188300.00
"2017-06-26 07:20:00",1,57600.00
"2017-06-26 07:22:00",1,23200.00
"2017-06-26 07:26:00",1,146300.00
"2017-06-26 07:29:00",1,36600.00
"2017-06-26 07:46:00",1,24400.00
"2017-06-26 07:48:00",1,51600.00
"2017-06-26 07:50:00",1,50800.00
"2017-06-26 07:51:00",1,132800.00
"2017-06-26 07:53:00",1,15000.00
"2017-06-26 07:54:00",1,664300.00
"2017-06-26 08:02:00",1,92700.00
"2017-06-26 08:04:00",1,13700.00
"2017-06-26 08:09:00",1,166100.00
"2017-06-26 08:13:00",1,56000.00
"2017-06-26 08:15:00",1,153100.00
"2017-06-26 08:18:00",1,16400.00
"2017-06-26 08:38:00",1,43900.00
"2017-06-26 08:56:00",1,28000.00
"2017-06-26 09:01:00",2,253600.00
"2017-06-26 09:03:00",1,531400.00
"2017-06-26 09:04:00",1,13200.00
"2017-06-26 09:05:00",2,88900.00
"2017-06-26 09:19:00",1,44700.00
"2017-06-26 09:32:00",1,129700.00
"2017-06-26 09:36:00",1,312900.00
"2017-06-26 09:37:00",1,27800.00
"2017-06-26 09:44:00",1,31600.00
"2017-06-26 09:57:00",1,19600.00
"2017-06-26 10:00:00",1,100300.00
"2017-06-26 10:03:00",1,14000.00
"2017-06-26 10:06:00",1,50900.00
"2017-06-26 10:13:00",1,236700.00
"2017-06-26 10:15:00",1,25400.00
"2017-06-26 10:17:00",1,28000.00
"2017-06-26 10:23:00",2,61700.00
"2017-06-26 10:27:00",1,54800.00
"2017-06-26 10:28:00",1,58800.00
"2017-06-26 10:31:00",1,44800.00
"2017-06-26 10:32:00",1,138000.00
"2017-06-26 10:35:00",1,212900.00
"2017-06-26 10:41:00",1,27800.00
"2017-06-26 10:42:00",1,40200.00
"2017-06-26 10:48:00",1,23200.00
"2017-06-26 10:52:00",1,92400.00
"2017-06-26 11:19:00",1,203400.00
"2017-06-26 11:23:00",1,50200.00
"2017-06-26 11:24:00",1,79600.00
"2017-06-26 11:25:00",1,86600.00
"2017-06-26 11:26:00",1,6800.00
"2017-06-26 11:27:00",1,24400.00
"2017-06-26 11:31:00",1,203000.00
"2017-06-26 11:38:00",1,16400.00
"2017-06-26 11:42:00",1,38400.00
"2017-06-26 11:43:00",1,21800.00
"2017-06-26 11:44:00",1,115900.00
"2017-06-26 11:45:00",1,111700.00
"2017-06-26 11:46:00",1,58400.00
"2017-06-26 12:00:00",1,40800.00
"2017-06-26 12:18:00",1,84500.00
"2017-06-26 12:24:00",2,132300.00
"2017-06-26 12:28:00",1,199700.00
"2017-06-26 12:35:00",1,166900.00
"2017-06-26 12:36:00",1,22000.00
"2017-06-26 12:43:00",1,55800.00
"2017-06-26 12:50:00",1,148800.00
"2017-06-26 12:52:00",1,27600.00
"2017-06-26 13:02:00",1,26200.00
"2017-06-26 13:06:00",1,68100.00
"2017-06-26 13:17:00",1,18600.00
"2017-06-26 13:18:00",1,112000.00
"2017-06-26 13:25:00",1,23600.00
"2017-06-26 13:26:00",1,92800.00
"2017-06-26 13:34:00",1,43100.00
"2017-06-26 13:43:00",2,56800.00
"2017-06-26 13:44:00",1,110500.00
"2017-06-26 13:48:00",1,57700.00
"2017-06-26 13:50:00",1,270800.00
"2017-06-26 13:55:00",1,153900.00
"2017-06-26 14:01:00",1,35600.00
"2017-06-26 14:04:00",2,141200.00
"2017-06-26 14:10:00",2,112500.00
"2017-06-26 14:19:00",2,146900.00
"2017-06-26 14:22:00",2,435400.00
"2017-06-26 14:25:00",1,115600.00
"2017-06-26 14:34:00",1,85000.00
"2017-06-26 14:37:00",1,70700.00
"2017-06-26 14:40:00",1,186900.00
"2017-06-26 14:45:00",2,140600.00
"2017-06-26 14:50:00",1,29400.00
"2017-06-26 14:51:00",1,85000.00
"2017-06-26 14:54:00",2,214500.00
"2017-06-26 15:01:00",2,285600.00
"2017-06-26 15:05:00",1,20400.00
"2017-06-26 15:08:00",1,53600.00
"2017-06-26 15:13:00",1,99200.00
"2017-06-26 15:15:00",1,55400.00
"2017-06-26 15:21:00",1,6800.00
"2017-06-26 15:24:00",1,52100.00
"2017-06-26 15:30:00",1,71900.00
"2017-06-26 15:36:00",1,19600.00
"2017-06-26 15:40:00",1,14400.00
"2017-06-26 15:43:00",1,29600.00
"2017-06-26 15:47:00",1,39200.00
"2017-06-26 15:52:00",1,36200.00
"2017-06-26 15:59:00",1,49800.00
"2017-06-26 16:02:00",1,99300.00
"2017-06-26 16:03:00",1,28000.00
"2017-06-26 16:07:00",1,15700.00
"2017-06-26 16:10:00",2,50600.00
"2017-06-26 16:20:00",1,34600.00
"2017-06-26 16:21:00",2,126500.00
"2017-06-26 16:22:00",1,28000.00
"2017-06-26 16:23:00",1,54000.00
"2017-06-26 16:32:00",1,45100.00
"2017-06-26 16:33:00",1,131100.00
"2017-06-26 16:40:00",1,293900.00
"2017-06-26 16:46:00",1,48500.00
"2017-06-26 16:52:00",2,213400.00
"2017-06-26 16:53:00",1,62600.00
"2017-06-26 16:54:00",1,29600.00
"2017-06-26 16:59:00",1,40800.00
"2017-06-26 17:00:00",1,620800.00
"2017-06-26 17:15:00",1,26800.00
"2017-06-26 17:16:00",1,37500.00
"2017-06-26 17:18:00",1,123900.00
"2017-06-26 17:21:00",1,46000.00
"2017-06-26 17:23:00",1,38400.00
"2017-06-26 17:30:00",1,95200.00
"2017-06-26 17:40:00",1,33100.00
"2017-06-26 17:51:00",1,59300.00
"2017-06-26 17:57:00",1,89000.00
"2017-06-26 17:58:00",1,72400.00
"2017-06-26 18:01:00",1,20200.00
"2017-06-26 18:07:00",1,114800.00
"2017-06-26 18:13:00",2,151200.00
"2017-06-26 18:24:00",1,7400.00
"2017-06-26 18:30:00",1,27200.00
"2017-06-26 18:37:00",1,29600.00
"2017-06-26 18:40:00",2,152900.00
"2017-06-26 18:42:00",1,26800.00
"2017-06-26 18:46:00",1,60400.00
"2017-06-26 18:53:00",1,99200.00
"2017-06-26 18:59:00",1,16400.00
"2017-06-26 19:01:00",1,56200.00
"2017-06-26 19:08:00",1,61500.00
"2017-06-26 19:12:00",1,25200.00
"2017-06-26 19:14:00",2,69000.00
"2017-06-26 19:17:00",1,39300.00
"2017-06-26 19:21:00",1,107700.00
"2017-06-26 19:22:00",1,24400.00
"2017-06-26 19:41:00",1,271100.00
"2017-06-26 19:44:00",1,20200.00
"2017-06-26 19:47:00",1,228900.00
"2017-06-26 19:49:00",1,25000.00
"2017-06-26 19:56:00",1,114400.00
"2017-06-26 19:58:00",1,92800.00
"2017-06-26 19:59:00",1,31100.00
"2017-06-26 20:00:00",1,72800.00
"2017-06-26 20:14:00",1,45100.00
"2017-06-26 20:16:00",1,13600.00
"2017-06-26 20:38:00",1,64600.00
"2017-06-26 20:39:00",1,63500.00
"2017-06-26 20:40:00",1,46300.00
"2017-06-26 20:41:00",1,24200.00
"2017-06-26 20:45:00",1,68100.00
"2017-06-26 20:46:00",1,81800.00
"2017-06-26 20:47:00",1,87400.00
"2017-06-26 20:48:00",1,115700.00
"2017-06-26 20:49:00",1,64400.00
"2017-06-26 20:50:00",1,48800.00
"2017-06-26 20:51:00",1,123000.00
"2017-06-26 20:59:00",1,15000.00
"2017-06-26 21:02:00",1,42800.00
"2017-06-26 21:11:00",1,27200.00
"2017-06-26 21:16:00",1,99200.00
"2017-06-26 21:17:00",1,67400.00
"2017-06-26 21:18:00",1,47600.00
"2017-06-26 21:19:00",1,89600.00
"2017-06-26 21:23:00",1,26000.00
"2017-06-26 21:27:00",2,141500.00
"2017-06-26 21:32:00",2,89200.00
"2017-06-26 21:38:00",1,46400.00
"2017-06-26 21:43:00",1,492000.00
"2017-06-26 21:48:00",1,148200.00
"2017-06-26 21:53:00",1,40600.00
"2017-06-26 21:54:00",2,320200.00
"2017-06-26 21:56:00",1,23600.00
"2017-06-26 22:04:00",1,60400.00
"2017-06-26 22:06:00",1,55800.00
"2017-06-26 22:08:00",1,31600.00
"2017-06-26 22:20:00",1,82200.00
"2017-06-26 22:22:00",1,67700.00
"2017-06-26 22:35:00",1,67200.00
"2017-06-26 22:37:00",1,6700.00
"2017-06-26 22:38:00",1,58900.00
"2017-06-26 22:42:00",1,34000.00
"2017-06-26 22:46:00",1,19600.00
"2017-06-26 22:49:00",2,46000.00
"2017-06-26 22:50:00",1,10800.00
"2017-06-26 22:51:00",2,101400.00
"2017-06-26 23:09:00",1,54100.00
"2017-06-26 23:11:00",1,265800.00
"2017-06-26 23:13:00",1,30600.00
"2017-06-26 23:17:00",2,113900.00
"2017-06-26 23:20:00",1,27800.00
"2017-06-26 23:23:00",1,23600.00
"2017-06-26 23:24:00",1,218200.00
"2017-06-26 23:25:00",1,36900.00
"2017-06-26 23:28:00",2,80200.00
"2017-06-26 23:31:00",1,37600.00
"2017-06-26 23:37:00",1,26100.00
"2017-06-26 23:48:00",2,102300.00
"2017-06-26 23:55:00",2,392600.00
"2017-06-26 23:56:00",1,123700.00
"2017-06-26 23:58:00",1,88900.00
"2017-06-26 23:59:00",1,29600.00
"2017-06-27 00:01:00",2,48600.00
"2017-06-27 00:06:00",1,87400.00
"2017-06-27 00:07:00",1,35600.00
"2017-06-27 00:08:00",2,47200.00
"2017-06-27 00:15:00",1,106400.00
"2017-06-27 00:19:00",1,77900.00
"2017-06-27 00:21:00",1,402700.00
"2017-06-27 00:24:00",2,110300.00
"2017-06-27 00:30:00",1,21400.00
"2017-06-27 00:37:00",1,12600.00
"2017-06-27 00:42:00",1,492000.00
"2017-06-27 00:45:00",2,84800.00
"2017-06-27 00:49:00",1,56000.00
"2017-06-27 00:51:00",2,221600.00
"2017-06-27 00:59:00",1,23200.00
"2017-06-27 01:01:00",1,10600.00
"2017-06-27 01:05:00",2,51600.00
"2017-06-27 01:08:00",2,205300.00
"2017-06-27 01:09:00",2,187800.00
"2017-06-27 01:10:00",3,162000.00
"2017-06-27 01:13:00",1,24800.00
"2017-06-27 01:16:00",1,38800.00
"2017-06-27 01:22:00",1,64500.00
"2017-06-27 01:23:00",1,26000.00
"2017-06-27 01:24:00",1,19600.00
"2017-06-27 01:27:00",2,124500.00
"2017-06-27 01:28:00",1,69600.00
"2017-06-27 01:30:00",1,79800.00
"2017-06-27 01:31:00",1,27200.00
"2017-06-27 01:34:00",2,52100.00
"2017-06-27 01:36:00",1,46800.00
"2017-06-27 01:37:00",2,54600.00
"2017-06-27 01:40:00",1,83000.00
"2017-06-27 01:44:00",2,128700.00
"2017-06-27 01:45:00",3,195000.00
"2017-06-27 01:46:00",3,206700.00
"2017-06-27 01:47:00",1,12600.00
"2017-06-27 01:48:00",2,119500.00
"2017-06-27 01:49:00",1,55600.00
"2017-06-27 01:54:00",1,81700.00
"2017-06-27 01:56:00",1,18000.00
"2017-06-27 01:58:00",1,16400.00
"2017-06-27 01:59:00",1,39300.00
"2017-06-27 02:00:00",2,108100.00
"2017-06-27 02:03:00",1,88000.00
"2017-06-27 02:05:00",1,8000.00
"2017-06-27 02:08:00",4,536200.00
"2017-06-27 02:10:00",1,21200.00
"2017-06-27 02:12:00",1,14000.00
"2017-06-27 02:14:00",1,19600.00
"2017-06-27 02:18:00",2,99800.00
"2017-06-27 02:22:00",1,67100.00
"2017-06-27 02:23:00",2,97900.00
"2017-06-27 02:27:00",1,9200.00
"2017-06-27 02:29:00",1,148200.00
"2017-06-27 02:30:00",2,179200.00
"2017-06-27 02:31:00",1,49000.00
"2017-06-27 02:32:00",1,54800.00
"2017-06-27 02:33:00",1,28000.00
"2017-06-27 02:34:00",1,32800.00
"2017-06-27 02:42:00",2,238600.00
"2017-06-27 02:45:00",1,45200.00
"2017-06-27 02:46:00",1,56100.00
"2017-06-27 02:47:00",2,60800.00
