flight_id,flight_no,departure_delay_minutes
365,PG0202,4
370,PG0273,3
371,PG0273,2
372,PG0273,2
374,PG0273,1
375,PG0273,2
376,PG0273,3
377,PG0273,4
381,PG0273,2
382,PG0273,2
383,PG0273,2
385,PG0273,199
387,PG0273,3
388,PG0273,3
391,PG0273,5
392,PG0273,208
396,PG0273,4
397,PG0273,1
399,PG0273,3
403,PG0273,1
404,PG0273,5
405,PG0273,8
409,PG0273,3
411,PG0273,3
412,PG0273,4
414,PG0273,2
416,PG0273,133
418,PG0273,4
423,PG0273,2
425,PG0273,1
427,PG0273,2
429,PG0216,6
430,PG0216,2
433,PG0216,4
434,PG0216,3
435,PG0216,2
436,PG0216,2
438,PG0216,6
440,PG0216,2
441,PG0216,212
442,PG0216,6
443,PG0216,2
447,PG0216,6
451,PG0216,3
455,PG0216,3
458,PG0216,3
461,PG0216,3
462,PG0216,1
465,PG0216,2
469,PG0216,4
470,PG0216,5
471,PG0216,3
473,PG0216,1
474,PG0216,3
475,PG0216,2
476,PG0216,2
478,PG0216,1
479,PG0216,5
480,PG0216,2
482,PG0216,1
490,PG0213,6
491,PG0212,7
493,PG0213,6
496,PG0213,1
498,PG0213,7
501,PG0213,3
503,PG0213,1
504,PG0213,4
505,PG0212,6
507,PG0212,5
508,PG0212,1
509,PG0213,2
512,PG0212,1
513,PG0212,1
514,PG0213,2
515,PG0213,1
516,PG0212,3
517,PG0213,2
518,PG0212,3
519,PG0212,3
520,PG0213,2
523,PG0213,4
525,PG0212,4
526,PG0212,2
531,PG0212,1
532,PG0213,4
533,PG0212,7
534,PG0212,6
535,PG0213,4
536,PG0212,2
539,PG0213,4
544,PG0212,3
545,PG0212,3
546,PG0213,3
550,PG0213,4
551,PG0212,2
555,PG0212,3
556,PG0213,160
558,PG0213,3
560,PG0212,2
562,PG0213,3
563,PG0213,4
566,PG0212,2
567,PG0212,159
568,PG0213,2
570,PG0212,2
571,PG0213,218
581,PG0213,3
582,PG0212,4
585,PG0212,7
586,PG0213,3
587,PG0213,6
588,PG0212,4
590,PG0212,6
591,PG0213,2
592,PG0212,5
593,PG0213,1
594,PG0213,2
595,PG0212,3
599,PG0212,2
615,PG0416,5
616,PG0416,4
619,PG0416,3
620,PG0416,2
622,PG0416,3
623,PG0416,4
625,PG0416,2
628,PG0416,3
630,PG0416,4
634,PG0416,3
635,PG0416,5
640,PG0416,6
642,PG0416,2
644,PG0416,4
645,PG0416,6
646,PG0416,3
647,PG0416,3
648,PG0416,2
650,PG0416,2
651,PG0416,6
658,PG0416,1
661,PG0416,5
662,PG0416,4
663,PG0416,1
665,PG0416,7
666,PG0416,2
667,PG0416,3
668,PG0416,2
669,PG0416,3
670,PG0416,3
672,PG0055,1
673,PG0054,2
674,PG0055,3
675,PG0054,3
678,PG0054,3
680,PG0055,2
681,PG0054,4
682,PG0055,3
685,PG0055,3
688,PG0054,3
695,PG0055,2
697,PG0055,8
700,PG0054,3
702,PG0055,2
707,PG0054,3
709,PG0055,3
711,PG0055,1
712,PG0055,2
713,PG0055,2
718,PG0055,166
721,PG0054,4
722,PG0054,3
724,PG0055,1
726,PG0055,3
728,PG0055,3
733,PG0055,5
734,PG0054,3
735,PG0055,6
737,PG0055,2
741,PG0054,2
745,PG0054,3
748,PG0054,2
749,PG0054,2
750,PG0054,5
751,PG0054,3
753,PG0054,1
754,PG0055,4
757,PG0055,6
759,PG0054,164
764,PG0054,2
767,PG0055,6
768,PG0055,2
770,PG0055,3
771,PG0055,2
772,PG0054,3
774,PG0055,4
776,PG0054,5
778,PG0054,4
780,PG0055,242
781,PG0055,4
783,PG0054,3
785,PG0054,1
786,PG0055,5
787,PG0055,3
788,PG0054,4
790,PG0054,3
792,PG0054,2
793,PG0055,4
795,PG0045,3
796,PG0045,2
797,PG0045,3
798,PG0045,4
800,PG0045,2
801,PG0045,3
806,PG0045,2
808,PG0045,2
809,PG0045,1
811,PG0045,3
816,PG0045,4
818,PG0045,1
821,PG0045,3
823,PG0045,3
824,PG0045,6
828,PG0045,2
829,PG0045,5
830,PG0045,2
834,PG0045,3
835,PG0045,3
837,PG0045,1
838,PG0045,5
840,PG0045,207
841,PG0045,2
842,PG0045,3
843,PG0045,6
849,PG0045,4
850,PG0045,4
851,PG0045,4
852,PG0045,3
855,PG0341,4
856,PG0341,4
860,PG0341,4
861,PG0341,3
862,PG0341,2
863,PG0341,3
865,PG0341,2
866,PG0341,5
870,PG0341,3
871,PG0341,1
875,PG0341,4
878,PG0341,3
879,PG0341,1
885,PG0341,5
886,PG0341,5
888,PG0341,199
889,PG0341,2
893,PG0341,3
894,PG0341,6
897,PG0341,4
899,PG0341,4
902,PG0341,1
903,PG0341,3
904,PG0341,186
905,PG0341,1
906,PG0341,3
907,PG0341,1
910,PG0341,3
912,PG0341,2
914,PG0341,4
917,PG0368,6
919,PG0368,2
920,PG0368,5
923,PG0368,1
924,PG0368,176
925,PG0368,3
928,PG0368,7
929,PG0368,1
930,PG0368,3
931,PG0368,1
932,PG0368,3
938,PG0368,7
939,PG0368,2
940,PG0368,1
941,PG0368,1
942,PG0368,2
943,PG0368,3
944,PG0368,4
945,PG0368,6
947,PG0368,1
948,PG0368,5
950,PG0368,3
951,PG0368,3
953,PG0368,2
955,PG0368,234
957,PG0368,2
966,PG0368,3
970,PG0368,4
971,PG0368,1
975,PG0368,4
979,PG0335,2
981,PG0335,1
985,PG0335,4
986,PG0335,2
989,PG0335,3
992,PG0335,4
993,PG0335,6
994,PG0335,2
997,PG0335,1
998,PG0335,3
999,PG0335,2
1000,PG0335,4
1001,PG0335,4
1006,PG0335,3
1007,PG0335,3
1008,PG0335,2
1009,PG0335,3
1011,PG0335,2
1013,PG0335,3
1015,PG0335,4
1016,PG0335,5
1018,PG0335,3
1019,PG0335,4
1020,PG0335,2
1021,PG0335,3
1025,PG0335,4
1030,PG0335,189
1031,PG0335,2
1032,PG0335,2
1033,PG0335,1
1040,PG0517,1
1045,PG0517,1
1046,PG0517,4
1047,PG0517,3
1049,PG0517,1
1050,PG0517,3
1051,PG0517,2
1057,PG0517,199
1060,PG0517,4
1061,PG0517,1
1062,PG0517,2
1063,PG0517,2
1064,PG0517,2
1065,PG0517,3
1066,PG0517,1
1067,PG0517,1
1068,PG0517,4
1071,PG0517,1
1072,PG0517,3
1076,PG0517,1
1077,PG0517,4
1078,PG0517,1
1079,PG0517,5
1081,PG0517,4
1083,PG0517,4
1086,PG0517,4
1089,PG0517,8
1090,PG0517,5
1091,PG0517,4
1094,PG0517,4
1097,PG0517,3
1101,PG0136,2
1103,PG0136,5
1105,PG0136,4
1106,PG0136,3
1107,PG0136,2
1109,PG0136,2
1112,PG0136,3
1113,PG0136,2
1114,PG0136,3
1116,PG0136,2
1117,PG0136,2
1118,PG0136,2
1120,PG0136,4
1122,PG0136,4
1123,PG0136,5
1124,PG0136,4
1125,PG0136,1
1127,PG0136,2
1130,PG0136,2
1131,PG0136,3
1132,PG0136,1
1134,PG0136,2
1138,PG0136,4
1140,PG0136,2
1143,PG0136,3
1147,PG0136,4
1149,PG0136,5
1150,PG0136,5
1154,PG0136,3
1158,PG0136,3
1162,PG0134,4
1166,PG0134,3
1167,PG0134,5
1168,PG0134,4
1170,PG0134,5
1171,PG0134,3
1172,PG0134,3
1174,PG0134,2
1175,PG0134,2
1177,PG0134,2
1182,PG0134,2
1183,PG0134,4
1184,PG0134,5
1186,PG0134,1
1188,PG0134,2
1194,PG0134,5
1196,PG0134,2
1197,PG0134,3
1198,PG0134,8
1199,PG0134,3
1201,PG0134,2
1202,PG0134,3
1203,PG0134,1
1209,PG0134,6
1211,PG0134,3
1212,PG0134,2
1213,PG0134,3
1214,PG0134,4
1217,PG0134,2
1219,PG0134,3
1220,PG0134,4
1222,PG0005,4
1224,PG0005,2
1225,PG0005,2
1227,PG0005,3
1228,PG0005,4
1233,PG0005,1
1234,PG0005,5
1240,PG0005,2
1242,PG0005,3
1243,PG0005,5
1244,PG0005,3
1246,PG0005,2
1249,PG0168,6
1250,PG0168,2
1253,PG0168,3
1254,PG0168,4
1255,PG0168,7
1258,PG0168,3
1259,PG0168,7
1262,PG0168,5
1266,PG0168,3
1267,PG0168,4
1269,PG0168,5
1274,PG0168,3
1277,PG0168,1
1278,PG0168,5
1281,PG0168,4
1284,PG0168,3
1287,PG0168,3
1289,PG0168,2
1290,PG0168,1
1294,PG0168,1
1295,PG0168,2
1296,PG0168,4
1301,PG0168,4
1302,PG0168,2
1303,PG0168,2
1305,PG0168,2
1306,PG0168,1
1308,PG0144,2
1310,PG0144,6
1311,PG0144,4
1313,PG0144,6
1314,PG0144,2
1315,PG0144,1
1317,PG0144,3
1319,PG0144,3
1321,PG0144,6
1322,PG0144,3
1324,PG0144,2
1326,PG0144,2
1332,PG0144,2
1335,PG0519,3
1338,PG0519,5
1339,PG0519,1
1341,PG0519,3
1342,PG0519,3
1343,PG0519,2
1344,PG0519,4
1345,PG0519,7
1350,PG0519,2
1352,PG0164,1
1353,PG0164,4
1357,PG0164,3
1361,PG0164,167
1365,PG0164,2
1367,PG0164,3
1368,PG0164,3
1371,PG0164,5
1372,PG0164,3
1374,PG0164,1
1375,PG0164,1
1377,PG0164,4
1381,PG0164,5
1384,PG0164,1
1385,PG0164,2
1388,PG0164,2
1391,PG0164,4
1393,PG0164,4
1394,PG0164,5
1395,PG0164,2
1396,PG0164,2
1397,PG0164,3
1398,PG0164,2
1400,PG0164,2
1401,PG0164,5
1403,PG0164,6
1406,PG0164,4
1407,PG0164,6
1408,PG0164,268
1409,PG0164,208
1412,PG0509,5
1414,PG0509,3
1416,PG0509,1
1418,PG0509,1
1419,PG0509,3
1420,PG0509,4
1424,PG0509,2
1425,PG0509,1
1429,PG0509,2
1430,PG0509,4
1432,PG0509,4
1435,PG0509,5
1437,PG0509,8
1439,PG0509,4
1440,PG0509,1
1441,PG0509,5
1442,PG0509,2
1443,PG0509,4
1445,PG0509,2
1449,PG0509,4
1450,PG0509,2
1452,PG0509,5
1453,PG0509,3
1454,PG0509,5
1458,PG0509,3
1462,PG0509,2
1466,PG0509,3
1467,PG0509,5
1469,PG0509,5
1474,PG0709,2
1475,PG0709,4
1478,PG0709,6
1479,PG0709,3
1481,PG0709,1
1482,PG0210,5
1483,PG0210,202
1484,PG0210,3
1486,PG0210,4
1487,PG0210,6
1490,PG0210,3
1491,PG0210,4
1493,PG0210,3
1494,PG0210,7
1495,PG0210,5
1498,PG0210,2
1499,PG0210,1
1501,PG0210,5
1502,PG0210,3
1508,PG0210,5
1510,PG0210,3
1512,PG0210,5
1514,PG0210,1
1515,PG0210,4
1518,PG0210,3
1521,PG0210,1
1525,PG0210,7
1526,PG0210,3
1527,PG0210,3
1529,PG0210,4
1530,PG0210,4
1537,PG0210,7
1539,PG0210,3
1540,PG0210,2
1545,PG0124,5
1546,PG0124,4
1548,PG0124,1
1549,PG0124,3
1550,PG0124,1
1552,PG0124,5
1553,PG0124,2
1554,PG0124,3
1555,PG0124,3
1557,PG0124,5
1558,PG0124,4
1563,PG0124,1
1566,PG0124,1
1567,PG0124,1
1570,PG0124,1
1572,PG0124,2
1574,PG0124,3
1575,PG0124,7
1578,PG0124,2
1579,PG0124,3
1581,PG0124,5
1582,PG0124,5
1585,PG0124,2
1592,PG0124,3
1593,PG0124,2
1594,PG0124,5
1596,PG0124,2
1599,PG0124,2
1604,PG0629,5
1605,PG0629,4
1608,PG0629,3
1610,PG0629,3
1611,PG0629,2
1613,PG0112,2
1614,PG0112,6
1615,PG0112,1
1617,PG0112,6
1620,PG0112,8
1622,PG0112,2
1624,PG0112,3
1629,PG0112,1
1631,PG0112,4
1632,PG0112,2
1637,PG0112,2
1640,PG0095,2
1641,PG0095,3
1642,PG0095,5
1643,PG0095,2
1644,PG0095,2
1646,PG0095,3
1647,PG0095,4
1650,PG0095,4
1651,PG0095,3
1654,PG0095,3
1656,PG0095,5
1657,PG0095,3
1658,PG0095,2
1661,PG0095,1
1664,PG0095,7
1672,PG0095,1
1675,PG0095,2
1676,PG0095,3
1677,PG0095,210
1681,PG0095,5
1683,PG0095,4
1687,PG0095,188
1688,PG0095,1
1694,PG0095,185
1695,PG0095,2
1697,PG0095,5
1698,PG0095,2
1700,PG0315,1
1701,PG0315,1
1702,PG0315,4
1704,PG0315,3
1708,PG0315,1
1709,PG0239,2
1712,PG0239,3
1714,PG0239,6
1715,PG0239,2
1716,PG0239,183
1717,PG0239,5
1719,PG0239,8
1720,PG0239,2
1723,PG0239,3
1726,PG0239,3
1728,PG0239,196
1729,PG0239,3
1731,PG0239,3
1733,PG0239,2
1735,PG0239,2
1738,PG0239,5
1739,PG0239,212
1740,PG0239,1
1741,PG0239,2
1747,PG0239,1
1749,PG0239,3
1750,PG0239,3
1753,PG0239,4
1754,PG0239,4
1756,PG0239,3
1758,PG0239,6
1760,PG0239,3
1767,PG0239,4
1768,PG0239,2
1769,PG0239,5
1785,PG0542,2
1786,PG0541,7
1788,PG0542,3
1789,PG0542,1
1793,PG0541,6
1795,PG0541,1
1796,PG0542,6
1797,PG0542,4
1798,PG0541,4
1799,PG0542,3
1800,PG0541,2
1803,PG0541,2
1804,PG0541,4
1805,PG0542,3
1807,PG0542,2
1809,PG0541,2
1811,PG0542,3
1814,PG0541,1
1815,PG0542,1
1817,PG0542,3
1818,PG0541,4
1819,PG0541,3
1821,PG0541,4
1825,PG0542,1
1826,PG0541,194
1827,PG0542,4
1828,PG0541,6
1829,PG0542,1
1832,PG0541,3
1833,PG0541,2
1834,PG0542,4
1839,PG0541,3
1841,PG0542,1
1842,PG0541,5
1843,PG0542,181
1844,PG0542,6
1845,PG0541,2
1846,PG0541,4
1847,PG0541,4
1848,PG0541,3
1849,PG0542,5
1850,PG0542,4
1851,PG0541,1
1852,PG0541,5
1853,PG0542,4
1855,PG0541,1
1856,PG0542,1
1857,PG0541,5
1867,PG0542,5
1869,PG0542,4
1870,PG0541,3
1871,PG0542,4
1879,PG0541,3
1880,PG0542,3
1881,PG0541,201
1884,PG0541,3
1891,PG0542,2
1892,PG0639,5
1895,PG0639,4
1898,PG0639,5
1899,PG0639,1
1902,PG0639,3
1903,PG0639,6
1904,PG0639,2
1909,PG0639,3
1911,PG0639,3
1913,PG0639,213
1914,PG0639,3
1916,PG0639,1
1922,PG0639,1
1923,PG0639,2
1924,PG0639,5
1925,PG0639,6
1928,PG0639,4
1929,PG0639,2
1934,PG0639,1
1936,PG0639,4
1937,PG0639,3
1939,PG0639,2
1940,PG0639,3
1941,PG0639,3
1942,PG0639,4
1943,PG0639,2
1945,PG0639,6
1948,PG0639,2
1949,PG0639,1
1952,PG0639,4
1955,PG0289,4
1956,PG0289,6
1957,PG0289,3
1959,PG0289,4
1965,PG0289,1
1967,PG0289,230
1969,PG0289,5
1970,PG0289,3
1972,PG0289,2
1973,PG0289,6
1975,PG0289,1
1976,PG0289,3
1978,PG0289,3
1979,PG0289,4
1980,PG0289,1
1981,PG0289,1
1982,PG0289,4
1986,PG0289,3
1990,PG0289,5
1991,PG0289,5
1994,PG0289,4
1996,PG0289,1
1999,PG0289,3
2000,PG0289,3
2003,PG0289,3
2006,PG0289,4
2007,PG0289,3
2010,PG0289,6
2012,PG0289,2
2013,PG0289,4
2015,PG0019,4
2016,PG0019,3
2017,PG0019,1
2019,PG0019,2
2020,PG0019,3
2032,PG0019,187
2034,PG0019,2
2035,PG0019,6
2037,PG0019,5
2039,PG0019,1
2040,PG0019,3
2042,PG0019,2
2045,PG0019,2
2050,PG0019,1
2052,PG0019,5
2053,PG0019,3
2054,PG0019,7
2055,PG0019,5
2057,PG0019,1
2059,PG0019,3
2064,PG0019,6
2065,PG0019,3
2069,PG0019,1
2070,PG0019,3
2072,PG0019,1
2074,PG0019,5
2075,PG0249,5
2077,PG0249,4
2079,PG0249,1
2082,PG0249,3
2083,PG0249,2
2085,PG0249,2
2089,PG0249,2
2091,PG0249,2
2093,PG0249,1
2096,PG0249,2
2098,PG0249,3
2099,PG0249,1
2100,PG0249,2
2101,PG0075,1
2105,PG0075,4
2106,PG0075,3
2108,PG0075,3
2109,PG0075,5
2112,PG0220,3
2113,PG0220,3
2114,PG0220,3
2116,PG0220,2
2118,PG0220,1
2120,PG0220,4
2124,PG0220,4
2125,PG0220,2
2126,PG0220,4
2127,PG0220,4
2130,PG0220,1
2131,PG0220,5
2134,PG0220,4
2138,PG0220,2
2139,PG0220,6
2140,PG0220,3
2142,PG0220,3
2146,PG0220,3
2147,PG0220,3
2148,PG0220,3
2152,PG0220,2
2153,PG0220,1
2154,PG0220,3
2156,PG0220,3
2157,PG0220,2
2160,PG0220,1
2161,PG0220,1
2166,PG0220,4
2168,PG0220,1
2169,PG0220,3
2171,PG0645,3
2172,PG0645,3
2173,PG0645,3
2175,PG0645,2
2177,PG0645,4
2178,PG0645,188
2179,PG0645,4
2181,PG0645,204
2183,PG0645,2
2185,PG0645,3
2186,PG0645,6
2189,PG0645,3
2192,PG0645,1
2199,PG0645,4
2200,PG0645,2
2201,PG0645,3
2202,PG0645,3
2204,PG0645,6
2205,PG0645,2
2208,PG0645,4
2209,PG0645,3
2211,PG0645,4
2213,PG0645,5
2214,PG0645,3
2218,PG0645,3
2220,PG0645,1
2225,PG0645,2
2227,PG0645,4
2229,PG0645,2
2231,PG0645,4
2233,PG0072,3
2237,PG0072,5
2239,PG0072,2
2240,PG0072,4
2242,PG0072,10
2243,PG0072,4
2246,PG0072,4
2248,PG0072,2
2249,PG0072,5
2252,PG0072,3
2254,PG0072,5
2255,PG0072,2
2256,PG0072,5
2259,PG0605,186
2261,PG0605,3
2262,PG0605,3
2263,PG0605,3
2265,PG0605,5
2267,PG0605,3
2270,PG0605,1
2272,PG0605,2
2275,PG0605,3
2277,PG0605,2
2281,PG0605,4
2283,PG0605,4
2287,PG0605,3
2291,PG0605,3
2294,PG0605,3
2297,PG0605,4
2298,PG0605,5
2299,PG0605,197
2300,PG0605,6
2305,PG0605,242
2306,PG0605,2
2307,PG0605,11
2308,PG0605,2
2310,PG0605,3
2312,PG0605,4
2313,PG0605,2
2318,PG0605,1
2319,PG0208,4
2322,PG0208,2
2323,PG0208,2
2324,PG0208,3
2325,PG0208,5
2326,PG0208,1
2329,PG0208,2
2330,PG0208,3
2331,PG0208,7
2332,PG0208,203
2335,PG0208,2
2336,PG0208,2
2338,PG0208,3
2342,PG0208,1
2343,PG0208,1
2346,PG0208,4
2348,PG0208,2
2349,PG0208,4
2350,PG0208,5
2351,PG0208,2
2354,PG0208,2
2355,PG0208,1
2356,PG0208,6
2361,PG0208,3
2362,PG0208,198
2365,PG0208,3
2370,PG0208,2
2373,PG0208,2
2376,PG0208,5
2381,PG0657,4
2382,PG0657,4
2383,PG0657,6
2391,PG0657,6
2394,PG0657,4
2395,PG0657,3
2398,PG0657,4
2402,PG0657,1
2403,PG0657,3
2404,PG0657,1
2405,PG0657,4
2406,PG0657,3
2407,PG0657,4
2408,PG0657,2
2410,PG0657,6
2412,PG0657,7
2413,PG0657,1
2414,PG0657,5
2416,PG0657,5
2418,PG0657,6
2420,PG0657,3
2422,PG0657,4
2424,PG0657,5
2428,PG0657,2
2429,PG0657,2
2431,PG0657,6
2435,PG0657,6
2436,PG0657,3
2442,PG0142,4
2445,PG0142,6
2447,PG0142,6
2448,PG0142,2
2450,PG0142,3
2453,PG0142,3
2454,PG0142,3
2456,PG0142,1
2458,PG0142,4
2461,PG0142,4
2462,PG0142,3
2464,PG0142,141
2468,PG0482,5
2469,PG0482,1
2477,PG0482,4
2478,PG0482,2
2479,PG0482,3
2480,PG0482,4
2484,PG0482,1
2485,PG0482,5
2486,PG0482,3
2487,PG0482,3
2490,PG0482,3
2491,PG0482,1
2494,PG0607,4
2495,PG0607,3
2496,PG0607,214
2497,PG0607,5
2502,PG0607,2
2503,PG0607,2
2508,PG0607,2
2509,PG0607,2
2512,PG0607,5
2515,PG0607,1
2516,PG0607,3
2517,PG0607,202
2520,PG0607,1
2521,PG0607,1
2524,PG0607,1
2525,PG0607,3
2527,PG0607,1
2529,PG0607,6
2534,PG0607,2
2536,PG0607,3
2538,PG0607,2
2540,PG0607,2
2541,PG0607,4
2542,PG0607,4
2543,PG0607,2
2545,PG0607,2
2546,PG0607,3
2548,PG0607,3
2553,PG0607,6
2557,PG0029,3
2558,PG0030,8
2559,PG0030,5
2560,PG0029,5
2561,PG0029,4
2562,PG0030,2
2563,PG0029,1
2564,PG0030,5
2569,PG0029,4
2573,PG0030,4
2575,PG0029,1
2577,PG0029,2
2578,PG0030,1
2585,PG0029,1
2589,PG0030,3
2590,PG0029,7
2591,PG0029,5
2593,PG0029,1
2594,PG0030,2
2596,PG0030,2
2598,PG0029,1
2599,PG0030,1
2600,PG0029,1
2606,PG0030,203
2612,PG0030,3
2613,PG0029,2
2614,PG0030,1
2616,PG0030,4
2617,PG0029,4
2618,PG0029,4
2620,PG0030,1
2621,PG0030,3
2622,PG0029,1
2623,PG0030,3
2627,PG0029,1
2628,PG0029,2
2629,PG0030,4
2630,PG0030,2
2631,PG0030,3
2633,PG0029,4
2636,PG0030,2
2637,PG0029,3
2638,PG0029,1
2642,PG0030,2
2643,PG0029,1
2644,PG0029,3
2645,PG0030,5
2648,PG0030,170
2649,PG0029,2
2650,PG0030,235
2656,PG0029,4
2658,PG0029,171
2660,PG0030,2
2661,PG0029,2
2662,PG0029,4
2664,PG0030,2
2670,PG0030,2
2671,PG0029,4
2672,PG0030,1
2678,PG0085,4
2679,PG0085,4
2680,PG0085,3
2681,PG0085,3
2689,PG0085,208
2690,PG0085,3
2691,PG0085,4
2692,PG0085,4
2695,PG0085,3
2698,PG0085,2
2701,PG0085,2
2702,PG0085,3
2704,PG0593,4
2705,PG0593,1
2708,PG0593,1
2709,PG0593,1
2711,PG0593,1
2715,PG0593,5
2717,PG0593,2
2718,PG0593,3
2720,PG0593,2
2723,PG0593,2
2725,PG0593,3
2726,PG0593,5
2732,PG0593,4
2734,PG0593,2
2738,PG0593,216
2739,PG0593,3
2740,PG0593,3
2743,PG0593,4
2745,PG0593,5
2746,PG0593,1
2747,PG0593,3
2748,PG0593,3
2751,PG0593,3
2752,PG0593,4
2753,PG0593,3
2754,PG0593,3
2757,PG0593,7
2758,PG0593,1
2760,PG0593,2
2765,PG0196,3
2766,PG0196,5
2767,PG0196,4
2769,PG0196,1
2770,PG0196,2
2771,PG0196,5
2772,PG0196,4
2774,PG0196,4
2777,PG0196,2
2784,PG0196,3
2785,PG0196,4
2786,PG0196,3
2792,PG0196,5
2793,PG0196,223
2796,PG0196,2
2797,PG0196,2
2800,PG0196,4
2801,PG0196,3
2802,PG0196,3
2803,PG0196,3
2804,PG0196,4
2806,PG0196,3
2807,PG0196,5
2810,PG0196,2
2814,PG0196,5
2815,PG0196,2
2816,PG0196,1
2817,PG0196,3
2818,PG0196,236
2821,PG0196,4
2829,PG0454,2
2831,PG0454,3
2832,PG0454,3
2833,PG0454,3
2834,PG0454,4
2835,PG0454,174
2837,PG0454,4
2838,PG0454,1
2839,PG0454,2
2840,PG0454,5
2844,PG0454,1
2845,PG0454,5
2846,PG0454,5
2848,PG0454,5
2850,PG0454,5
2851,PG0454,4
2852,PG0454,258
2853,PG0454,5
2856,PG0454,5
2857,PG0454,4
2866,PG0454,4
2867,PG0454,4
2870,PG0454,4
2871,PG0454,197
2872,PG0454,2
2876,PG0454,1
2878,PG0454,2
2881,PG0454,1
2883,PG0454,4
2884,PG0454,3
2886,PG0383,4
2888,PG0384,2
2895,PG0382,4
2896,PG0383,2
2897,PG0384,4
2898,PG0382,2
2901,PG0382,5
2903,PG0383,7
2905,PG0383,199
2909,PG0384,1
2911,PG0384,2
2918,PG0384,1
2919,PG0383,3
2920,PG0382,3
2924,PG0384,5
2926,PG0384,3
2934,PG0384,4
2935,PG0382,5
2936,PG0383,3
2938,PG0383,3
2942,PG0382,2
2948,PG0384,3
2951,PG0383,2
2952,PG0384,5
2955,PG0382,4
2956,PG0383,3
2957,PG0384,2
2958,PG0382,4
2959,PG0383,2
2960,PG0384,4
2961,PG0384,2
2962,PG0383,4
2963,PG0382,4
2968,PG0384,4
2971,PG0384,1
2972,PG0383,6
2973,PG0382,2
2974,PG0383,5
2975,PG0382,5
2976,PG0383,8
2977,PG0384,2
2980,PG0382,1
2983,PG0382,2
2984,PG0383,9
2987,PG0384,1
2989,PG0384,244
2990,PG0383,2
2992,PG0382,5
2995,PG0384,1
2996,PG0384,2
2997,PG0383,1
2999,PG0382,4
3002,PG0382,5
3003,PG0383,3
3004,PG0384,5
3005,PG0383,3
3006,PG0382,5
3010,PG0384,4
3012,PG0382,3
3013,PG0383,4
3021,PG0384,4
3022,PG0383,3
3028,PG0382,2
